DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33508.000, -360.500, 39434.500, -39795.000, 17211.000, 0.514, 
DoD_2-0_filt_ult_gis.txt, 33511.000, 1991.800, 43496.900, -41505.100, 18747.000, 0.560, 
DoD_2-1_filt_ult_gis.txt, 33456.000, 1945.000, 41195.300, -39250.300, 17197.000, 0.514, 
DoD_3-0_filt_ult_gis.txt, 33522.000, 3964.100, 55846.800, -51882.700, 20076.000, 0.600, 
DoD_3-1_filt_ult_gis.txt, 33463.000, 4461.900, 46489.800, -42027.900, 18803.000, 0.562, 
DoD_3-2_filt_ult_gis.txt, 33494.000, 3251.900, 38637.700, -35385.800, 16275.000, 0.486, 
DoD_4-0_filt_ult_gis.txt, 33521.000, 6848.400, 61283.900, -54435.500, 21698.000, 0.648, 
DoD_4-1_filt_ult_gis.txt, 33464.000, 7355.800, 54632.500, -47276.700, 19992.000, 0.597, 
DoD_4-2_filt_ult_gis.txt, 33492.000, 5219.600, 45245.000, -40025.400, 18468.000, 0.552, 
DoD_4-3_filt_ult_gis.txt, 33500.000, 3117.100, 33472.300, -30355.200, 15799.000, 0.472, 
DoD_5-0_filt_ult_gis.txt, 33513.000, 2721.300, 61107.000, -58385.700, 21642.000, 0.646, 
DoD_5-1_filt_ult_gis.txt, 33458.000, 3378.400, 62091.500, -58713.100, 21942.000, 0.655, 
DoD_5-2_filt_ult_gis.txt, 33482.000, 1305.100, 52552.900, -51247.800, 20257.000, 0.605, 
DoD_5-3_filt_ult_gis.txt, 33486.000, -1732.500, 42658.700, -44391.200, 18703.000, 0.559, 
DoD_5-4_filt_ult_gis.txt, 33488.000, -3882.400, 29592.800, -33475.200, 15293.000, 0.457, 
DoD_6-0_filt_ult_gis.txt, 33512.000, 2665.700, 68296.700, -65631.000, 22876.000, 0.683, 
DoD_6-1_filt_ult_gis.txt, 33454.000, 4017.600, 65468.800, -61451.200, 21768.000, 0.650, 
DoD_6-2_filt_ult_gis.txt, 33482.000, 1481.800, 60430.400, -58948.600, 21354.000, 0.638, 
DoD_6-3_filt_ult_gis.txt, 33488.000, -720.500, 48573.300, -49293.800, 19207.000, 0.574, 
DoD_6-4_filt_ult_gis.txt, 33489.000, -3266.700, 41639.000, -44905.700, 18389.000, 0.549, 
DoD_6-5_filt_ult_gis.txt, 33480.000, -65.600, 36556.800, -36622.400, 16459.000, 0.492, 
DoD_7-0_filt_ult_gis.txt, 33499.000, -2549.400, 64902.600, -67452.000, 23116.000, 0.690, 
DoD_7-1_filt_ult_gis.txt, 33446.000, -1899.000, 59844.800, -61743.800, 22033.000, 0.658, 
DoD_7-2_filt_ult_gis.txt, 33470.000, -3109.100, 54019.200, -57128.300, 21128.000, 0.631, 
DoD_7-3_filt_ult_gis.txt, 33476.000, -5858.200, 48277.300, -54135.500, 20424.000, 0.610, 
DoD_7-4_filt_ult_gis.txt, 33474.000, -8387.900, 43011.500, -51399.400, 19670.000, 0.588, 
DoD_7-5_filt_ult_gis.txt, 33470.000, -5147.800, 40367.700, -45515.500, 19276.000, 0.576, 
DoD_7-6_filt_ult_gis.txt, 33469.000, -5204.100, 37854.000, -43058.100, 17253.000, 0.515, 
DoD_8-0_filt_ult_gis.txt, 33517.000, 5495.400, 69225.500, -63730.100, 23225.000, 0.694, 
DoD_8-1_filt_ult_gis.txt, 33460.000, 5577.900, 64051.100, -58473.200, 22507.000, 0.672, 
DoD_8-2_filt_ult_gis.txt, 33490.000, 3473.900, 60224.100, -56750.200, 22219.000, 0.664, 
DoD_8-3_filt_ult_gis.txt, 33493.000, 907.600, 50542.000, -49634.400, 20715.000, 0.619, 
DoD_8-4_filt_ult_gis.txt, 33496.000, -1998.300, 47980.900, -49979.200, 20946.000, 0.626, 
DoD_8-5_filt_ult_gis.txt, 33483.000, 2347.700, 53888.500, -51540.800, 21364.000, 0.638, 
DoD_8-6_filt_ult_gis.txt, 33483.000, 2470.800, 48668.800, -46198.000, 20145.000, 0.602, 
DoD_8-7_filt_ult_gis.txt, 33475.000, 6512.700, 41254.900, -34742.200, 17640.000, 0.527, 
DoD_9-0_filt_ult_gis.txt, 33525.000, 8388.300, 69253.100, -60864.800, 23572.000, 0.704, 
DoD_9-1_filt_ult_gis.txt, 33472.000, 7980.500, 70706.400, -62725.900, 23282.000, 0.695, 
DoD_9-2_filt_ult_gis.txt, 33496.000, 6273.400, 65510.600, -59237.200, 23059.000, 0.689, 
DoD_9-3_filt_ult_gis.txt, 33501.000, 3547.800, 61321.800, -57774.000, 21926.000, 0.655, 
DoD_9-4_filt_ult_gis.txt, 33498.000, 1276.300, 50856.200, -49579.900, 21029.000, 0.628, 
DoD_9-5_filt_ult_gis.txt, 33492.000, 3570.600, 53260.200, -49689.600, 20737.000, 0.619, 
DoD_9-6_filt_ult_gis.txt, 33491.000, 4192.600, 56104.900, -51912.300, 20777.000, 0.621, 
DoD_9-7_filt_ult_gis.txt, 33479.000, 10048.100, 57415.600, -47367.500, 21109.000, 0.630, 
DoD_9-8_filt_ult_gis.txt, 33494.000, 2658.300, 44590.200, -41931.900, 18104.000, 0.541, 
