# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
-7.261999999999993634e+02 8.489100000000000000e+04 4.208240000000000146e+04 -4.280859999999999854e+04 1.923300000000000000e+04 9.875000000000000000e+03 9.358000000000000000e+03 6.893548387096774377e+01 3.539426523297490945e+01 3.354121863799283432e+01 8.836054703888368778e+00 4.261508860759493977e+00 4.574545843128873912e+00 4.325251234446619186e+00
1.513299999999999272e+03 8.485630000000000291e+04 4.318480000000000291e+04 -4.167150000000000000e+04 1.900400000000000000e+04 9.684000000000000000e+03 9.320000000000000000e+03 6.811469534050179675e+01 3.470967741935483986e+01 3.340501792114695689e+01 8.930587930536276531e+00 4.459396943411813474e+00 4.471190987124463945e+00 4.197626253733546697e+00
2.922200000000001182e+03 7.842620000000001164e+04 4.067420000000000437e+04 -3.775200000000000728e+04 1.803600000000000000e+04 9.421000000000000000e+03 8.615000000000000000e+03 6.464516129032257652e+01 3.376702508960573823e+01 3.087813620071684539e+01 8.699521505868855087e+00 4.317397303895552874e+00 4.382124201973303101e+00 4.066469494436678822e+00
2.202300000000000637e+03 6.856070000000001164e+04 3.538150000000000000e+04 -3.317919999999999709e+04 1.769800000000000000e+04 9.058000000000000000e+03 8.640000000000000000e+03 6.343369175627240253e+01 3.246594982078853064e+01 3.096774193548387188e+01 7.746290285648862906e+00 3.906105100463678426e+00 3.840185185185184924e+00 3.350527760980602565e+00
-4.226600000000001273e+03 6.774360000000000582e+04 3.175850000000000364e+04 -3.598510000000000582e+04 1.723100000000000000e+04 7.978000000000000000e+03 9.253000000000000000e+03 6.175985663082437327e+01 2.859498207885304666e+01 3.316487455197132306e+01 7.869779366238893736e+00 3.980759588869391408e+00 3.889019777369502329e+00 3.415134483049623526e+00
-4.351000000000000227e+02 7.701090000000000873e+04 3.828790000000000146e+04 -3.872300000000000728e+04 1.804800000000000000e+04 9.349000000000000000e+03 8.699000000000000000e+03 6.468817204301075208e+01 3.350896057347669910e+01 3.117921146953404943e+01 8.546831776590273932e+00 4.095400577601882475e+00 4.451431198988390570e+00 3.861472903498204268e+00
-5.452799999999999272e+03 8.484639999999999418e+04 3.969680000000000291e+04 -4.514959999999999127e+04 1.887700000000000000e+04 9.450000000000000000e+03 9.427000000000000000e+03 6.765949820788530644e+01 3.387096774193548043e+01 3.378853046594981890e+01 8.990111748142085801e+00 4.200719576719577297e+00 4.789392171422508504e+00 4.486708676585335454e+00
6.796800000000001091e+03 7.921000000000000000e+04 4.300339999999999418e+04 -3.620659999999999854e+04 1.894200000000000000e+04 1.050200000000000000e+04 8.440000000000000000e+03 6.789247311827956821e+01 3.764157706093190114e+01 3.025089605734767062e+01 8.384663462883620966e+00 4.094781946295943165e+00 4.289881516587677801e+00 3.993710200036881819e+00
1.898299999999999500e+03 9.017230000000000291e+04 4.603529999999999563e+04 -4.413700000000000000e+04 1.952500000000000000e+04 1.110100000000000000e+04 8.424000000000000000e+03 6.998207885304660181e+01 3.978853046594981890e+01 3.019354838709677580e+01 9.386385672928176049e+00 4.146950725159895157e+00 5.239434947768280892e+00 4.462377183047818718e+00
