# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
1.400599999999999909e+03 4.030600000000000000e+04 2.085329999999999927e+04 -1.945270000000000073e+04 9.703000000000000000e+03 5.226000000000000000e+03 4.477000000000000000e+03 3.490287769784172411e+01 1.879856115107913794e+01 1.610431654676258972e+01 8.335328661583748300e+00 3.990298507462686217e+00 4.345030154121062971e+00 2.753714941003153616e+00
6.967000000000005002e+02 3.231789999999999782e+04 1.650729999999999927e+04 -1.581060000000000036e+04 8.198000000000000000e+03 4.523000000000000000e+03 3.675000000000000000e+03 2.948920863309352569e+01 1.626978417266187193e+01 1.321942446043165553e+01 7.951839279510167557e+00 3.649635197877514781e+00 4.302204081632653221e+00 2.369674365791069270e+00
-4.476000000000005343e+02 3.318120000000000437e+04 1.636680000000000109e+04 -1.681440000000000146e+04 7.759000000000000000e+03 3.903000000000000000e+03 3.856000000000000000e+03 2.791007194244604150e+01 1.403956834532374032e+01 1.387050359712230296e+01 8.553970613093664355e+00 4.193389700230592432e+00 4.360580912863071035e+00 2.497723244912017915e+00
-4.657999999999994998e+02 4.003400000000000000e+04 1.978409999999999854e+04 -2.024990000000000146e+04 8.951000000000000000e+03 4.933000000000000000e+03 4.018000000000000000e+03 3.219784172661870514e+01 1.774460431654676285e+01 1.445323741007194229e+01 9.050357442794673801e+00 4.010561524427325608e+00 5.039795918367347305e+00 2.778851875708988395e+00
9.906000000000008185e+02 3.868700000000000000e+04 1.983880000000000291e+04 -1.884820000000000073e+04 9.460000000000000000e+03 5.115000000000000000e+03 4.345000000000000000e+03 3.402877697841726956e+01 1.839928057553956720e+01 1.562949640287769704e+01 8.216458913347439719e+00 3.878553274682307705e+00 4.337905638665132457e+00 2.584830251808539980e+00
7.953999999999994088e+02 4.713259999999999854e+04 2.396400000000000000e+04 -2.316859999999999854e+04 9.486000000000000000e+03 5.540000000000000000e+03 3.946000000000000000e+03 3.412230215827337787e+01 1.992805755395683320e+01 1.419424460431654644e+01 1.019704585917101092e+01 4.325631768953068779e+00 5.871414090217942139e+00 3.341048616462047427e+00
3.328199999999999818e+03 3.734540000000000146e+04 2.033679999999999927e+04 -1.700859999999999854e+04 8.499000000000000000e+03 4.867000000000000000e+03 3.632000000000000000e+03 3.057194244604316680e+01 1.750719424460431739e+01 1.306474820143884941e+01 8.861492902845650832e+00 4.178508321347853105e+00 4.682984581497796839e+00 2.745680881930216088e+00
2.419900000000000091e+03 4.795510000000000582e+04 2.518750000000000000e+04 -2.276760000000000218e+04 1.052100000000000000e+04 5.531000000000000000e+03 4.990000000000000000e+03 3.784532374100719210e+01 1.989568345323741028e+01 1.794964028776978537e+01 9.116523431966083280e+00 4.553878141384921641e+00 4.562645290581162527e+00 3.147461514155990070e+00
-1.152400000000000091e+03 4.542859999999999854e+04 2.213809999999999854e+04 -2.329050000000000000e+04 9.855000000000000000e+03 4.916000000000000000e+03 4.939000000000000000e+03 3.544964028776978182e+01 1.768345323741007036e+01 1.776618705035971146e+01 9.218905714814306762e+00 4.503275020341741097e+00 4.715630694472565665e+00 3.043123080638147737e+00
