DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33725.000, 1400.600, 20853.300, -19452.700, 9703.000, 0.291, 
DoD_2-0_filt_ult_gis.txt, 33730.000, 2514.900, 31923.500, -29408.600, 12774.000, 0.383, 
DoD_2-1_filt_ult_gis.txt, 33710.000, 696.700, 16507.300, -15810.600, 8198.000, 0.246, 
DoD_3-0_filt_ult_gis.txt, 33729.000, 1306.100, 38674.600, -37368.500, 15257.000, 0.457, 
DoD_3-1_filt_ult_gis.txt, 33707.000, 157.500, 28051.100, -27893.600, 12223.000, 0.366, 
DoD_3-2_filt_ult_gis.txt, 33717.000, -447.600, 16366.800, -16814.400, 7759.000, 0.233, 
DoD_4-0_filt_ult_gis.txt, 33717.000, 1708.700, 45072.500, -43363.800, 16801.000, 0.504, 
DoD_4-1_filt_ult_gis.txt, 33693.000, 1331.300, 35955.300, -34624.000, 14234.000, 0.427, 
DoD_4-2_filt_ult_gis.txt, 33696.000, -101.800, 27790.400, -27892.200, 11344.000, 0.340, 
DoD_4-3_filt_ult_gis.txt, 33702.000, -465.800, 19784.100, -20249.900, 8951.000, 0.268, 
DoD_5-0_filt_ult_gis.txt, 33713.000, 3956.000, 50023.200, -46067.200, 17596.000, 0.527, 
DoD_5-1_filt_ult_gis.txt, 33687.000, 3261.400, 42089.400, -38828.000, 15558.000, 0.466, 
DoD_5-2_filt_ult_gis.txt, 33693.000, 1522.300, 36277.900, -34755.600, 13620.000, 0.408, 
DoD_5-3_filt_ult_gis.txt, 33699.000, 2597.000, 32101.600, -29504.600, 12040.000, 0.361, 
DoD_5-4_filt_ult_gis.txt, 33686.000, 990.600, 19838.800, -18848.200, 9460.000, 0.284, 
DoD_6-0_filt_ult_gis.txt, 33722.000, 3329.200, 52901.200, -49572.000, 18426.000, 0.552, 
DoD_6-1_filt_ult_gis.txt, 33699.000, 3668.500, 50042.900, -46374.400, 17559.000, 0.526, 
DoD_6-2_filt_ult_gis.txt, 33701.000, 2911.700, 46423.100, -43511.400, 15847.000, 0.475, 
DoD_6-3_filt_ult_gis.txt, 33702.000, 3759.200, 43524.600, -39765.400, 14642.000, 0.439, 
DoD_6-4_filt_ult_gis.txt, 33693.000, 2737.300, 34964.500, -32227.200, 12771.000, 0.383, 
DoD_6-5_filt_ult_gis.txt, 33685.000, 795.400, 23964.000, -23168.600, 9486.000, 0.284, 
DoD_7-0_filt_ult_gis.txt, 33732.000, 4763.900, 59096.200, -54332.300, 20552.000, 0.616, 
DoD_7-1_filt_ult_gis.txt, 33707.000, 5454.800, 56826.400, -51371.600, 19732.000, 0.591, 
DoD_7-2_filt_ult_gis.txt, 33711.000, 4085.400, 53615.800, -49530.400, 17959.000, 0.538, 
DoD_7-3_filt_ult_gis.txt, 33716.000, 5953.200, 52068.700, -46115.500, 16948.000, 0.508, 
DoD_7-4_filt_ult_gis.txt, 33697.000, 4675.700, 44168.900, -39493.200, 15533.000, 0.466, 
DoD_7-5_filt_ult_gis.txt, 33696.000, 3649.000, 34438.000, -30789.000, 12923.000, 0.387, 
DoD_7-6_filt_ult_gis.txt, 33702.000, 3328.200, 20336.800, -17008.600, 8499.000, 0.255, 
DoD_8-0_filt_ult_gis.txt, 33713.000, 3140.200, 61449.300, -58309.100, 21798.000, 0.653, 
DoD_8-1_filt_ult_gis.txt, 33692.000, 4599.800, 59215.100, -54615.300, 20917.000, 0.627, 
DoD_8-2_filt_ult_gis.txt, 33693.000, 3565.300, 56542.000, -52976.700, 19460.000, 0.583, 
DoD_8-3_filt_ult_gis.txt, 33702.000, 6695.200, 56241.600, -49546.400, 18321.000, 0.549, 
DoD_8-4_filt_ult_gis.txt, 33686.000, 4995.100, 49839.700, -44844.600, 17864.000, 0.535, 
DoD_8-5_filt_ult_gis.txt, 33679.000, 3772.000, 42057.500, -38285.500, 15843.000, 0.475, 
DoD_8-6_filt_ult_gis.txt, 33691.000, 4260.900, 35361.700, -31100.800, 13982.000, 0.419, 
DoD_8-7_filt_ult_gis.txt, 33702.000, 2419.900, 25187.500, -22767.600, 10521.000, 0.315, 
DoD_9-0_filt_ult_gis.txt, 33661.000, -883.400, 60788.200, -61671.600, 22282.000, 0.668, 
DoD_9-1_filt_ult_gis.txt, 33645.000, -219.500, 58535.000, -58754.500, 21414.000, 0.642, 
DoD_9-2_filt_ult_gis.txt, 33645.000, -283.300, 56894.800, -57178.100, 20384.000, 0.611, 
DoD_9-3_filt_ult_gis.txt, 33649.000, 1835.900, 55844.800, -54008.900, 19495.000, 0.584, 
DoD_9-4_filt_ult_gis.txt, 33631.000, -520.900, 50014.400, -50535.300, 19674.000, 0.590, 
DoD_9-5_filt_ult_gis.txt, 33629.000, -1864.200, 45628.700, -47492.900, 18404.000, 0.552, 
DoD_9-6_filt_ult_gis.txt, 33640.000, -628.100, 40541.000, -41169.100, 16734.000, 0.502, 
DoD_9-7_filt_ult_gis.txt, 33646.000, -472.300, 35507.400, -35979.700, 14562.000, 0.437, 
DoD_9-8_filt_ult_gis.txt, 33635.000, -1152.400, 22138.100, -23290.500, 9855.000, 0.295, 
