0.161,0.167,0.147,0.153,0.150,0.142,0.125,0.115,0.057,0.128,0.145,0.129,0.128,0.125,0.130,0.126,0.000,0.233,0.133,0.024
0.209,0.199,0.182,0.198,0.199,0.178,0.164,0.125,0.121,0.172,0.189,0.179,0.166,0.184,0.170,0.000,0.050,0.290,0.176,0.024
0.217,0.227,0.231,0.237,0.218,0.210,0.181,0.163,0.176,0.211,0.209,0.189,0.195,0.206,0.000,0.000,0.092,0.325,0.205,0.021
0.246,0.269,0.261,0.254,0.241,0.223,0.194,0.194,0.206,0.218,0.218,0.219,0.215,0.000,0.000,0.000,0.125,0.358,0.227,0.024
0.278,0.284,0.277,0.268,0.248,0.222,0.212,0.229,0.220,0.225,0.234,0.229,0.000,0.000,0.000,0.000,0.142,0.375,0.244,0.025
0.295,0.297,0.293,0.276,0.241,0.230,0.243,0.235,0.232,0.238,0.242,0.000,0.000,0.000,0.000,0.000,0.158,0.392,0.257,0.026
0.297,0.320,0.297,0.267,0.263,0.258,0.244,0.249,0.241,0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.415,0.269,0.025
0.311,0.324,0.286,0.278,0.280,0.271,0.257,0.256,0.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.175,0.408,0.280,0.023
0.319,0.308,0.294,0.300,0.285,0.276,0.265,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.183,0.400,0.289,0.018
0.311,0.313,0.307,0.302,0.290,0.283,0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.192,0.417,0.297,0.015
0.319,0.326,0.315,0.302,0.290,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.217,0.417,0.306,0.015
0.338,0.336,0.316,0.298,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.233,0.433,0.318,0.017
0.348,0.335,0.312,0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.233,0.433,0.326,0.017
0.351,0.330,0.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.442,0.334,0.013
0.351,0.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.267,0.433,0.343,0.008
0.362,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.283,0.433,0.362,0.000
