# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
2.737500000000000000e+03 5.327910000000000582e+04 2.800830000000000291e+04 -2.527080000000000291e+04 1.204600000000000000e+04 6.522000000000000000e+03 5.524000000000000000e+03 4.333093525179856442e+01 2.346043165467625968e+01 1.987050359712230119e+01 8.869162680270488153e+00 4.294434222631095643e+00 4.574728457639392509e+00 3.265326817259618597e+00
2.338999999999994088e+02 5.187309999999999854e+04 2.605350000000000000e+04 -2.581959999999999854e+04 1.188400000000000000e+04 6.111000000000000000e+03 5.773000000000000000e+03 4.274820143884892332e+01 2.198201438848920830e+01 2.076618705035971146e+01 8.735852832081633323e+00 4.263377515954835495e+00 4.472475316126796940e+00 3.368991945343026373e+00
1.772599999999999909e+03 4.049279999999999563e+04 2.113269999999999709e+04 -1.936009999999999854e+04 1.104600000000000000e+04 5.931000000000000000e+03 5.115000000000000000e+03 3.973381294964028854e+01 2.133453237410071779e+01 1.839928057553956720e+01 7.348058014181661157e+00 3.563092227280390656e+00 3.784965786901270501e+00 2.555989672280178482e+00
2.342099999999999454e+03 4.543910000000000582e+04 2.389059999999999854e+04 -2.154850000000000000e+04 1.086000000000000000e+04 5.613000000000000000e+03 5.247000000000000000e+03 3.906474820143884585e+01 2.019064748201438775e+01 1.887410071942446166e+01 8.363120826367197225e+00 4.256297879921610239e+00 4.106822946445587874e+00 2.882197672487969875e+00
8.300000000000002274e+02 4.115620000000000437e+04 2.099309999999999854e+04 -2.016309999999999854e+04 1.021400000000000000e+04 5.061000000000000000e+03 5.153000000000000000e+03 3.674100719424460237e+01 1.820503597122302253e+01 1.853597122302158340e+01 8.060899924089316215e+00 4.148014226437462426e+00 3.912885697651852901e+00 2.691622784038955274e+00
7.428999999999998636e+02 3.897790000000000146e+04 1.986040000000000146e+04 -1.911750000000000000e+04 1.009300000000000000e+04 5.215000000000000000e+03 4.878000000000000000e+03 3.630575539568345533e+01 1.875899280575539407e+01 1.754676258992805771e+01 7.727448838917919005e+00 3.808322147651006961e+00 3.919126691266912488e+00 2.565224884627903990e+00
-4.579000000000000909e+02 3.332130000000000291e+04 1.643170000000000073e+04 -1.688960000000000218e+04 8.825000000000000000e+03 4.522000000000000000e+03 4.303000000000000000e+03 3.174460431654676285e+01 1.626618705035971146e+01 1.547841726618704961e+01 7.558799544623065358e+00 3.633724015922158657e+00 3.925075528700906702e+00 2.380316219457399018e+00
-1.928299999999999727e+03 2.644590000000000146e+04 1.225880000000000109e+04 -1.418710000000000036e+04 7.963000000000000000e+03 3.926000000000000000e+03 4.037000000000000000e+03 2.864388489208633004e+01 1.412230215827338142e+01 1.452158273381295039e+01 6.636733634663873005e+00 3.122465613856342692e+00 3.514268020807530313e+00 1.893264213172020982e+00
1.165699999999999818e+03 1.597289999999999964e+04 8.569299999999999272e+03 -7.403600000000000364e+03 4.121000000000000000e+03 2.137000000000000000e+03 1.984000000000000000e+03 1.482374100719424526e+01 7.687050359712229941e+00 7.136690647482014427e+00 7.741620469606170118e+00 4.009967243799718695e+00 3.731653225806451868e+00 1.688237109588214047e+00
7.314000000000000909e+02 3.586800000000000000e+04 1.829970000000000073e+04 -1.756829999999999927e+04 9.452000000000000000e+03 5.017000000000000000e+03 4.435000000000000000e+03 3.400000000000000000e+01 1.804676258992805771e+01 1.595323741007194229e+01 7.608823600659674113e+00 3.647538369543552150e+00 3.961285231116121519e+00 2.434937070996903152e+00
1.125499999999999773e+03 3.746009999999999854e+04 1.929280000000000291e+04 -1.816730000000000291e+04 1.023200000000000000e+04 5.217000000000000000e+03 5.015000000000000000e+03 3.680575539568345533e+01 1.876618705035971146e+01 1.803956834532374032e+01 7.320656244798287915e+00 3.698064021468277396e+00 3.622592223330010519e+00 2.442128352242642908e+00
-3.612000000000000455e+02 3.062839999999999782e+04 1.513360000000000036e+04 -1.549479999999999927e+04 8.423000000000000000e+03 3.974000000000000000e+03 4.449000000000000000e+03 3.029856115107913794e+01 1.429496402877697925e+01 1.600359712230215692e+01 7.290913165288920084e+00 3.808152994464016228e+00 3.482760170824904300e+00 2.159927311515015713e+00
1.607000000000000227e+03 3.291940000000000146e+04 1.726320000000000073e+04 -1.565620000000000073e+04 9.045000000000000000e+03 4.621000000000000000e+03 4.424000000000000000e+03 3.253597122302158340e+01 1.662230215827338142e+01 1.591366906474820198e+01 7.274738809343147317e+00 3.735814758710235939e+00 3.538924050632911378e+00 2.339634331189554217e+00
