0.360,0.355,0.329,0.324,0.304,0.301,0.263,0.237,0.122,0.281,0.305,0.251,0.270,0.247,0.268,0.265,0.042,0.473,0.280,0.054
0.462,0.434,0.425,0.418,0.417,0.388,0.346,0.255,0.278,0.380,0.391,0.367,0.348,0.364,0.360,0.000,0.152,0.598,0.376,0.054
0.504,0.511,0.499,0.504,0.463,0.453,0.375,0.367,0.388,0.461,0.458,0.395,0.410,0.422,0.000,0.000,0.242,0.665,0.443,0.049
0.540,0.561,0.551,0.546,0.512,0.471,0.430,0.414,0.447,0.499,0.468,0.450,0.465,0.000,0.000,0.000,0.292,0.683,0.489,0.047
0.591,0.591,0.576,0.570,0.519,0.491,0.457,0.479,0.500,0.513,0.495,0.488,0.000,0.000,0.000,0.000,0.310,0.733,0.523,0.045
0.627,0.622,0.611,0.582,0.538,0.504,0.513,0.514,0.512,0.541,0.523,0.000,0.000,0.000,0.000,0.000,0.367,0.775,0.553,0.046
0.641,0.643,0.615,0.588,0.571,0.546,0.537,0.535,0.531,0.563,0.000,0.000,0.000,0.000,0.000,0.000,0.408,0.798,0.577,0.041
0.658,0.660,0.636,0.613,0.594,0.592,0.558,0.547,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.433,0.800,0.603,0.040
0.661,0.656,0.643,0.639,0.629,0.598,0.576,0.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.458,0.798,0.622,0.033
0.677,0.668,0.657,0.674,0.637,0.629,0.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.483,0.815,0.648,0.028
0.688,0.681,0.691,0.666,0.647,0.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.508,0.808,0.668,0.021
0.713,0.707,0.693,0.672,0.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.508,0.850,0.689,0.020
0.722,0.702,0.700,0.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.567,0.848,0.701,0.016
0.725,0.704,0.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.585,0.850,0.711,0.010
0.735,0.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.617,0.867,0.723,0.012
0.756,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.633,0.875,0.756,0.000
