# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
2.271179999999999927e+04 8.632739999999999418e+04 5.451959999999999127e+04 -3.180779999999999563e+04 1.983900000000000000e+04 1.267300000000000000e+04 7.166000000000000000e+03 7.136330935251798735e+01 4.558633093525180158e+01 2.577697841726618577e+01 8.740738511129880095e+00 4.302027933401719295e+00 4.438710577728159912e+00 4.225528747263033402e+00
-2.249899999999999636e+03 7.989469999999999709e+04 3.882240000000000146e+04 -4.107229999999999563e+04 1.859800000000000000e+04 9.449000000000000000e+03 9.149000000000000000e+03 6.689928057553956364e+01 3.398920863309352569e+01 3.291007194244604506e+01 8.597891837861535436e+00 4.108625251349349305e+00 4.489266586512187018e+00 4.150546627586600756e+00
3.770799999999999727e+03 8.288580000000000291e+04 4.332829999999999563e+04 -3.955750000000000000e+04 1.903500000000000000e+04 1.013400000000000000e+04 8.901000000000000000e+03 6.847122302158273044e+01 3.645323741007194229e+01 3.201798561151078815e+01 8.719701370692376940e+00 4.275537793566212663e+00 4.444163577126165166e+00 4.071880296035349289e+00
-1.303480000000000291e+04 7.842839999999999418e+04 3.269680000000000291e+04 -4.573159999999999854e+04 1.946200000000000000e+04 8.170000000000000000e+03 1.129200000000000000e+04 7.000719424460432094e+01 2.938848920863309289e+01 4.061870503597122450e+01 8.051967745278229671e+00 4.002056303549571759e+00 4.049911441728657024e+00 3.860173275666157977e+00
2.828999999999997499e+02 8.588589999999999418e+04 4.308440000000000873e+04 -4.280150000000000000e+04 1.885800000000000000e+04 9.692000000000000000e+03 9.166000000000000000e+03 6.783453237410071779e+01 3.486330935251798735e+01 3.297122302158273044e+01 9.114951147762159422e+00 4.445356995460174154e+00 4.669594152301985268e+00 4.520414045402434411e+00
2.046599999999999454e+03 9.534260000000000582e+04 4.869460000000000582e+04 -4.664800000000000000e+04 1.934300000000000000e+04 1.010400000000000000e+04 9.239000000000000000e+03 6.957913669064748774e+01 3.634532374100719210e+01 3.323381294964028854e+01 9.868370156134401938e+00 4.819338875692795732e+00 5.049031280441606206e+00 4.914232816062067855e+00
-1.354309999999999673e+04 8.773550000000000000e+04 3.709619999999999709e+04 -5.063930000000000291e+04 1.888600000000000000e+04 7.968000000000000000e+03 1.091800000000000000e+04 6.793525179856115415e+01 2.866187050359712174e+01 3.927338129496402530e+01 9.293795602817938928e+00 4.655647590361445154e+00 4.638148012456493774e+00 4.439630314673610911e+00
1.382799999999999727e+03 7.932480000000000291e+04 4.035379999999999563e+04 -3.897100000000000000e+04 1.741900000000000000e+04 9.180000000000000000e+03 8.239000000000000000e+03 6.265827338129496127e+01 3.302158273381294862e+01 2.963669064748201265e+01 9.125903108151597110e+00 4.395838779956426912e+00 4.730064328195169310e+00 4.316353215673075283e+00
-7.750599999999999454e+03 7.990439999999999418e+04 3.607689999999999418e+04 -4.382750000000000000e+04 1.766800000000000000e+04 8.092000000000000000e+03 9.576000000000000000e+03 6.355395683453237154e+01 2.910791366906474664e+01 3.444604316546762846e+01 9.035148171755800206e+00 4.458341571922885826e+00 4.576806599832915268e+00 4.255693314056234300e+00
