17312.000,15782.000,16582.000,17161.000,16006.000,17209.000,16132.000,15008.000,14669.000,16206.778,900.954
19108.000,19358.000,19719.000,19526.000,19743.000,18979.000,19149.000,17071.000,0.000,19081.625,804.355
21864.000,21226.000,21312.000,21953.000,20797.000,21011.000,21370.000,0.000,0.000,21361.857,390.013
22467.000,22615.000,22634.000,23264.000,22248.000,22055.000,0.000,0.000,0.000,22547.167,379.506
22912.000,23334.000,23961.000,24158.000,24290.000,0.000,0.000,0.000,0.000,23731.000,524.610
23903.000,24883.000,24848.000,25848.000,0.000,0.000,0.000,0.000,0.000,24870.500,687.791
24622.000,25231.000,25927.000,0.000,0.000,0.000,0.000,0.000,0.000,25260.000,533.159
25288.000,26589.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25938.500,650.500
26267.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26267.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
