Cross-sections Rees
139.00	344.84	30
139.50	345.14	30
140.00	345.21	30
140.50	345.20	30
141.00	345.22	30
141.50	345.23	30
142.00	345.25	30
142.50	345.25	30
143.00	345.26	30
143.50	345.27	30
144.00	345.27	30
144.50	345.27	30
145.00	345.29	30
145.50	345.29	30
146.00	345.28	30
146.50	345.32	30
147.00	345.32	30
147.50	345.31	30
148.00	345.31	30
148.50	345.32	30
149.00	345.32	30
149.50	345.32	30
150.00	345.30	30
150.50	345.30	30
151.00	345.30	30
151.50	345.26	30
152.00	345.25	30
152.50	345.17	30
153.00	345.04	30
153.50	345.04	30
154.00	344.65	30
154.50	344.66	30
155.00	344.66	30
155.50	344.67	30
156.00	344.73	30
156.50	344.73	30
157.00	344.69	30
157.50	344.66	30
158.00	344.66	30
158.50	344.63	30
159.00	344.63	30
159.50	344.59	30
160.00	344.57	30
160.50	344.57	30
161.00	344.58	30
161.50	344.58	30
162.00	344.58	30
162.50	344.57	30
163.00	344.54	30
163.50	344.54	30
164.00	344.52	30
164.50	344.52	30
165.00	344.52	30
165.50	344.52	30
166.00	344.52	30
166.50	344.52	30
167.00	344.54	30
167.50	344.54	30
168.00	344.55	30
168.50	344.55	30
169.00	344.54	30
169.50	344.57	30
170.00	344.87	30
170.50	344.90	30
171.00	344.90	30
171.50	344.91	30
172.00	344.89	30
172.50	344.90	30
173.00	344.90	30
173.50	344.90	30
174.00	344.91	30
174.50	344.91	30
175.00	344.88	30
175.50	344.88	30
176.00	344.87	30
176.50	344.87	30
177.00	344.87	30
177.50	344.82	30
178.00	344.83	30
178.50	344.82	30
179.00	344.82	30
179.50	344.81	30
180.00	344.81	30
180.50	344.80	30
181.00	344.80	30
181.50	344.81	30
182.00	344.82	30
182.50	344.82	30
183.00	344.83	30
183.50	344.84	30
184.00	344.86	30
184.50	344.89	30
185.00	344.95	30
185.50	344.97	30
186.00	344.96	30
186.50	344.92	30
187.00	344.92	30
187.50	344.88	30
188.00	344.86	30
188.50	344.86	30
189.00	344.84	30
189.50	344.84	30
190.00	344.83	30
190.50	344.82	30
191.00	344.82	30
191.50	344.81	30
192.00	344.81	30
192.50	344.81	30
193.00	344.80	30
193.50	344.80	30
194.00	344.79	30
194.50	344.79	30
195.00	344.79	30
195.50	344.79	30
196.00	344.79	30
196.50	344.79	30
197.00	344.78	30
197.50	344.77	30
198.00	344.77	30
198.50	344.78	30
199.00	344.78	30
199.50	344.78	30
200.00	344.78	30
200.50	344.77	30
201.00	344.77	30
201.50	344.77	30
202.00	344.77	30
202.50	344.77	30
203.00	344.86	30
203.50	344.86	30
204.00	344.89	30
204.50	344.92	30
205.00	344.97	30
205.50	344.97	30
206.00	344.97	30
206.50	344.97	30
207.00	344.98	30
207.50	344.99	30
208.00	344.99	30
208.50	345.00	30
209.00	344.99	30
209.50	344.99	30
210.00	345.00	30
210.50	345.01	30
211.00	345.01	30
211.50	345.00	30
212.00	344.98	30
212.50	345.00	30
213.00	345.02	30
213.50	345.00	30
214.00	344.99	30
214.50	344.99	30
215.00	344.99	30
215.50	345.00	30
216.00	345.00	30
216.50	345.00	30
217.00	345.00	30
217.50	345.00	30
218.00	345.00	30
218.50	344.98	30
219.00	344.99	30
219.50	344.98	30
220.00	344.98	30
220.50	344.98	30
221.00	344.99	30
221.50	345.00	30
222.00	345.03	30
222.50	345.03	30
223.00	345.03	30
223.50	345.03	30
224.00	345.00	30
224.50	344.99	30
225.00	344.99	30
225.50	344.97	30
226.00	344.97	30
226.50	344.95	30
227.00	344.95	30
227.50	344.94	30
228.00	344.94	30
228.50	344.94	30
229.00	344.94	30
229.50	344.94	30
230.00	344.96	30
230.50	344.97	30
231.00	344.97	30
231.50	344.97	30
232.00	344.98	30
232.50	345.00	30
233.00	345.00	30
233.50	345.04	30
