DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33710.000, 1315.600, 15980.700, -14665.100, 7257.000, 0.218, 
DoD_2-0_filt_ult_gis.txt, 33690.000, 1469.300, 28002.400, -26533.100, 12319.000, 0.369, 
DoD_2-1_filt_ult_gis.txt, 33707.000, -1005.000, 20071.000, -21076.000, 9879.000, 0.296, 
DoD_3-0_filt_ult_gis.txt, 33691.000, 2484.700, 37587.800, -35103.100, 13738.000, 0.412, 
DoD_3-1_filt_ult_gis.txt, 33712.000, 1224.600, 31774.400, -30549.800, 12129.000, 0.364, 
DoD_3-2_filt_ult_gis.txt, 33711.000, 255.100, 21604.500, -21349.400, 9319.000, 0.279, 
DoD_4-0_filt_ult_gis.txt, 33711.000, 2062.200, 42674.200, -40612.000, 14724.000, 0.441, 
DoD_4-1_filt_ult_gis.txt, 33725.000, 744.800, 38150.900, -37406.100, 13646.000, 0.409, 
DoD_4-2_filt_ult_gis.txt, 33718.000, 1406.800, 33528.900, -32122.100, 13215.000, 0.396, 
DoD_4-3_filt_ult_gis.txt, 33714.000, 303.500, 21952.400, -21648.900, 10103.000, 0.303, 
DoD_5-0_filt_ult_gis.txt, 33701.000, 4012.100, 47483.400, -43471.300, 16362.000, 0.490, 
DoD_5-1_filt_ult_gis.txt, 33722.000, 1400.700, 43740.100, -42339.400, 15602.000, 0.468, 
DoD_5-2_filt_ult_gis.txt, 33707.000, 2182.500, 40136.000, -37953.500, 15155.000, 0.454, 
DoD_5-3_filt_ult_gis.txt, 33711.000, 1337.100, 32665.900, -31328.800, 13383.000, 0.401, 
DoD_5-4_filt_ult_gis.txt, 33722.000, 473.900, 21121.100, -20647.200, 9066.000, 0.272, 
DoD_6-0_filt_ult_gis.txt, 33658.000, 3316.100, 52583.000, -49266.900, 18195.000, 0.545, 
DoD_6-1_filt_ult_gis.txt, 33668.000, 1342.200, 48407.000, -47064.800, 17246.000, 0.517, 
DoD_6-2_filt_ult_gis.txt, 33670.000, 1285.600, 44599.100, -43313.500, 16177.000, 0.485, 
DoD_6-3_filt_ult_gis.txt, 33669.000, 609.700, 38165.400, -37555.700, 14516.000, 0.435, 
DoD_6-4_filt_ult_gis.txt, 33678.000, 271.000, 29989.800, -29718.800, 12385.000, 0.371, 
DoD_6-5_filt_ult_gis.txt, 33661.000, -167.300, 18523.200, -18690.500, 9039.000, 0.271, 
DoD_7-0_filt_ult_gis.txt, 33689.000, 4585.400, 58721.500, -54136.100, 18829.000, 0.564, 
DoD_7-1_filt_ult_gis.txt, 33709.000, 2122.400, 55088.800, -52966.400, 18473.000, 0.554, 
DoD_7-2_filt_ult_gis.txt, 33711.000, 3482.800, 50504.900, -47022.100, 17110.000, 0.513, 
DoD_7-3_filt_ult_gis.txt, 33708.000, 3100.600, 46064.700, -42964.100, 16360.000, 0.490, 
DoD_7-4_filt_ult_gis.txt, 33716.000, 2456.000, 38462.200, -36006.200, 14305.000, 0.429, 
DoD_7-5_filt_ult_gis.txt, 33709.000, 1168.700, 31236.200, -30067.500, 12153.000, 0.364, 
DoD_7-6_filt_ult_gis.txt, 33663.000, 1941.700, 20532.600, -18590.900, 8522.000, 0.255, 
DoD_8-0_filt_ult_gis.txt, 33697.000, 4112.300, 56667.600, -52555.300, 18934.000, 0.568, 
DoD_8-1_filt_ult_gis.txt, 33711.000, 1258.000, 53129.600, -51871.600, 18529.000, 0.555, 
DoD_8-2_filt_ult_gis.txt, 33718.000, 2442.800, 47954.800, -45512.000, 16935.000, 0.508, 
DoD_8-3_filt_ult_gis.txt, 33710.000, 1832.300, 44549.300, -42717.000, 16320.000, 0.489, 
DoD_8-4_filt_ult_gis.txt, 33720.000, 384.500, 38983.900, -38599.400, 15196.000, 0.456, 
DoD_8-5_filt_ult_gis.txt, 33712.000, -9.100, 32076.000, -32085.100, 12927.000, 0.388, 
DoD_8-6_filt_ult_gis.txt, 33667.000, 833.200, 23137.300, -22304.100, 10172.000, 0.305, 
DoD_8-7_filt_ult_gis.txt, 33712.000, 765.200, 12198.300, -11433.100, 6716.000, 0.201, 
DoD_9-0_filt_ult_gis.txt, 33675.000, 1470.900, 57574.600, -56103.700, 19748.000, 0.592, 
DoD_9-1_filt_ult_gis.txt, 33697.000, -105.600, 54839.100, -54944.700, 19524.000, 0.585, 
DoD_9-2_filt_ult_gis.txt, 33705.000, 1224.500, 48966.500, -47742.000, 17402.000, 0.522, 
DoD_9-3_filt_ult_gis.txt, 33696.000, 670.700, 47293.700, -46623.000, 17400.000, 0.522, 
DoD_9-4_filt_ult_gis.txt, 33704.000, -1238.500, 41361.700, -42600.200, 16234.000, 0.487, 
DoD_9-5_filt_ult_gis.txt, 33690.000, -912.600, 36354.400, -37267.000, 14555.000, 0.436, 
DoD_9-6_filt_ult_gis.txt, 33645.000, 779.000, 28042.500, -27263.500, 11797.000, 0.354, 
DoD_9-7_filt_ult_gis.txt, 33697.000, -721.000, 18237.600, -18958.600, 8945.000, 0.268, 
DoD_9-8_filt_ult_gis.txt, 33702.000, -730.500, 10882.300, -11612.800, 6503.000, 0.195, 
