t [min]	h [mm]	Q [m3/s]
193785	526	18.41744
193800	523	18.26756
193815	527	18.46756
193830	520	18.1184
193845	517	17.96996
193860	514	17.82224
193875	514	17.82224
193890	510	17.6264
193905	514	17.82224
193920	507	17.48036
193935	500	17.1424
193950	500	17.1424
193965	499	17.09444
193980	496	16.95104
193995	493	16.80836
194010	492	16.76096
194025	488	16.57216
194040	487	16.52516
194055	484	16.38464
194070	476	16.01344
194085	478	16.10576
194100	488	16.57216
194115	482	16.29136
194130	475	15.9674
194145	482	16.29136
194160	476	16.01344
194175	475	15.9674
194190	478	16.10576
194205	472	15.82976
194220	470	15.7384
194235	476	16.01344
194250	474	15.92144
194265	475	15.9674
194280	477	16.05956
194295	471	15.78404
194310	465	15.5114
194325	467	15.60196
194340	467	15.60196
194355	467	15.60196
194370	471	15.78404
194385	470	15.7384
194400	469	15.69284
194415	470	15.7384
194430	466	15.55664
194445	467	15.60196
194460	467	15.60196
194475	465	15.5114
194490	464	15.46624
194505	468	15.64736
194520	461	15.33124
194535	465	15.5114
194550	461	15.33124
194565	466	15.55664
194580	464	15.46624
194595	470	15.7384
194610	473	15.87556
194625	473	15.87556
194640	472	15.82976
194655	475	15.9674
194670	473	15.87556
194685	470	15.7384
194700	472	15.82976
194715	481	16.24484
194730	484	16.38464
194745	481	16.24484
194760	492	16.76096
194775	487	16.52516
194790	485	16.4314
194805	485	16.4314
194820	488	16.57216
194835	486	16.47824
194850	487	16.52516
194865	489	16.61924
194880	487	16.52516
194895	483	16.33796
194910	486	16.47824
194925	483	16.33796
194940	485	16.4314
194955	479	16.15204
194970	487	16.52516
194985	487	16.52516
195000	491	16.71364
195015	481	16.24484
195030	489	16.61924
195045	480	16.1984
195060	481	16.24484
195075	480	16.1984
195090	473	15.87556
195105	479	16.15204
195120	473	15.87556
195135	473	15.87556
195150	468	15.64736
195165	451	14.88644
195180	473	15.87556
195195	465	15.5114
195210	465	15.5114
195225	463	15.42116
195240	463	15.42116
195255	464	15.46624
195270	467	15.60196
195285	466	15.55664
195300	457	15.15236
195315	453	14.97476
195330	459	15.24164
195345	449	14.79844
195360	450	14.8424
195375	449	14.79844
195390	449	14.79844
195405	442	14.49296
195420	441	14.44964
195435	445	14.6234
195450	439	14.36324
195465	439	14.36324
195480	439	14.36324
195495	434	14.14864
195510	433	14.10596
195525	440	14.4064
195540	436	14.23424
195555	431	14.02084
195570	436	14.23424
195585	427	13.85156
195600	429	13.93604
195615	432	14.06336
195630	437	14.27716
195645	433	14.10596
195660	431	14.02084
195675	433	14.10596
195690	441	14.44964
195705	430	13.9784
195720	431	14.02084
195735	430	13.9784
195750	430	13.9784
195765	432	14.06336
195780	428	13.89376
195795	430	13.9784
195810	431	14.02084
195825	424	13.72544
195840	430	13.9784
195855	431	14.02084
195870	428	13.89376
195885	435	14.1914
195900	435	14.1914
195915	428	13.89376
195930	427	13.85156
195945	425	13.7674
195960	428	13.89376
195975	428	13.89376
195990	435	14.1914
196005	433	14.10596
196020	433	14.10596
196035	433	14.10596
196050	434	14.14864
196065	437	14.27716
196080	437	14.27716
196095	437	14.27716
196110	440	14.4064
196125	443	14.53636
196140	447	14.71076
196155	447	14.71076
196170	449	14.79844
196185	451	14.88644
196200	453	14.97476
196215	451	14.88644
196230	453	14.97476
196245	460	15.2864
196260	456	15.10784
196275	458	15.19696
196290	462	15.37616
196305	462	15.37616
196320	462	15.37616
196335	471	15.78404
196350	467	15.60196
196365	471	15.78404
196380	466	15.55664
196395	472	15.82976
196410	468	15.64736
196425	469	15.69284
196440	469	15.69284
196455	471	15.78404
196470	465	15.5114
196485	467	15.60196
196500	466	15.55664
196515	466	15.55664
196530	469	15.69284
196545	464	15.46624
196560	464	15.46624
196575	464	15.46624
196590	463	15.42116
196605	458	15.19696
196620	458	15.19696
196635	458	15.19696
196650	458	15.19696
196665	456	15.10784
196680	461	15.33124
196695	455	15.0634
196710	452	14.93056
196725	451	14.88644
196740	453	14.97476
196755	451	14.88644
196770	451	14.88644
196785	443	14.53636
196800	448	14.75456
196815	447	14.71076
196830	447	14.71076
196845	446	14.66704
196860	444	14.57984
196875	444	14.57984
196890	440	14.4064
196905	439	14.36324
196920	444	14.57984
196935	436	14.23424
196950	437	14.27716
196965	437	14.27716
196980	435	14.1914
196995	436	14.23424
197010	437	14.27716
197025	436	14.23424
197040	435	14.1914
197055	437	14.27716
197070	431	14.02084
197085	435	14.1914
197100	433	14.10596
197115	439	14.36324
197130	437	14.27716
197145	434	14.14864
197160	433	14.10596
197175	440	14.4064
197190	433	14.10596
197205	439	14.36324
197220	436	14.23424
197235	437	14.27716
197250	439	14.36324
197265	436	14.23424
197280	440	14.4064
197295	440	14.4064
197310	444	14.57984
197325	443	14.53636
197340	444	14.57984
197355	447	14.71076
197370	444	14.57984
197385	450	14.8424
197400	443	14.53636
197415	453	14.97476
197430	453	14.97476
197445	457	15.15236
197460	455	15.0634
197475	453	14.97476
197490	457	15.15236
197505	461	15.33124
197520	460	15.2864
197535	464	15.46624
197550	468	15.64736
197565	469	15.69284
197580	473	15.87556
197595	474	15.92144
197610	479	16.15204
197625	481	16.24484
197640	480	16.1984
197655	478	16.10576
197670	484	16.38464
197685	484	16.38464
197700	481	16.24484
197715	488	16.57216
197730	487	16.52516
197745	488	16.57216
197760	483	16.33796
197775	491	16.71364
197790	490	16.6664
197805	498	17.04656
197820	488	16.57216
197835	495	16.9034
197850	498	17.04656
197865	493	16.80836
197880	492	16.76096
197895	491	16.71364
197910	491	16.71364
197925	490	16.6664
197940	489	16.61924
197955	485	16.4314
197970	483	16.33796
197985	487	16.52516
198000	482	16.29136
198015	482	16.29136
198030	488	16.57216
198045	478	16.10576
198060	479	16.15204
198075	482	16.29136
198090	477	16.05956
198105	475	15.9674
198120	476	16.01344
198135	485	16.4314
198150	469	15.69284
198165	471	15.78404
198180	469	15.69284
198195	469	15.69284
198210	469	15.69284
198225	466	15.55664
198240	467	15.60196
198255	466	15.55664
198270	461	15.33124
198285	464	15.46624
198300	463	15.42116
198315	462	15.37616
198330	451	14.88644
198345	457	15.15236
198360	460	15.2864
198375	459	15.24164
198390	462	15.37616
198405	455	15.0634
198420	452	14.93056
198435	450	14.8424
198450	448	14.75456
198465	449	14.79844
198480	446	14.66704
198495	450	14.8424
198510	452	14.93056
198525	449	14.79844
198540	453	14.97476
198555	448	14.75456
198570	445	14.6234
198585	445	14.6234
198600	452	14.93056
198615	451	14.88644
198630	449	14.79844
198645	455	15.0634
198660	454	15.01904
198675	451	14.88644
198690	452	14.93056
198705	459	15.24164
198720	458	15.19696
198735	462	15.37616
198750	466	15.55664
198765	461	15.33124
198780	462	15.37616
198795	468	15.64736
198810	470	15.7384
198825	470	15.7384
198840	470	15.7384
198855	473	15.87556
198870	479	16.15204
198885	477	16.05956
198900	480	16.1984
198915	483	16.33796
198930	485	16.4314
198945	488	16.57216
198960	484	16.38464
198975	495	16.9034
198990	489	16.61924
199005	494	16.85584
199020	497	16.99876
199035	502	17.23856
199050	500	17.1424
199065	495	16.9034
199080	494	16.85584
199095	496	16.95104
199110	504	17.33504
199125	505	17.3834
199140	510	17.6264
199155	507	17.48036
199170	507	17.48036
199185	506	17.43184
199200	505	17.3834
199215	509	17.57764
199230	507	17.48036
199245	504	17.33504
199260	506	17.43184
199275	514	17.82224
199290	506	17.43184
199305	506	17.43184
199320	511	17.67524
199335	506	17.43184
199350	506	17.43184
199365	502	17.23856
199380	501	17.19044
199395	503	17.28676
199410	502	17.23856
199425	502	17.23856
199440	504	17.33504
199455	502	17.23856
199470	498	17.04656
199485	495	16.9034
199500	497	16.99876
199515	497	16.99876
199530	499	17.09444
199545	496	16.95104
199560	499	17.09444
199575	488	16.57216
199590	492	16.76096
199605	489	16.61924
199620	486	16.47824
199635	483	16.33796
199650	485	16.4314
199665	491	16.71364
199680	483	16.33796
199695	483	16.33796
199710	482	16.29136
199725	478	16.10576
199740	479	16.15204
199755	477	16.05956
199770	475	15.9674
199785	476	16.01344
199800	474	15.92144
199815	472	15.82976
199830	472	15.82976
199845	470	15.7384
199860	473	15.87556
199875	466	15.55664
199890	470	15.7384
199905	468	15.64736
199920	470	15.7384
199935	470	15.7384
199950	465	15.5114
199965	464	15.46624
199980	460	15.2864
199995	468	15.64736
200010	468	15.64736
200025	469	15.69284
200040	467	15.60196
200055	462	15.37616
200070	470	15.7384
200085	464	15.46624
200100	470	15.7384
200115	474	15.92144
200130	472	15.82976
200145	474	15.92144
200160	471	15.78404
200175	476	16.01344
200190	478	16.10576
200205	486	16.47824
200220	481	16.24484
200235	487	16.52516
200250	489	16.61924
200265	492	16.76096
200280	490	16.6664
200295	495	16.9034
200310	488	16.57216
200325	505	17.3834
200340	502	17.23856
200355	504	17.33504
200370	505	17.3834
200385	510	17.6264
200400	513	17.77316
200415	510	17.6264
200430	517	17.96996
200445	517	17.96996
200460	526	18.41744
200475	519	18.06884
200490	528	18.51776
200505	529	18.56804
200520	529	18.56804
200535	529	18.56804
200550	535	18.8714
200565	542	19.22896
200580	535	18.8714
200595	537	18.97316
200610	535	18.8714
200625	536	18.92224
200640	539	19.07524
200655	538	19.02416
200670	542	19.22896
200685	536	18.92224
200700	540	19.1264
200715	540	19.1264
200730	537	18.97316
200745	541	19.17764
200760	538	19.02416
200775	539	19.07524
200790	534	18.82064
200805	538	19.02416
200820	539	19.07524
200835	532	18.71936
200850	532	18.71936
200865	528	18.51776
200880	523	18.26756
200895	524	18.31744
200910	522	18.21776
200925	526	18.41744
200940	524	18.31744
200955	518	18.01936
200970	520	18.1184
200985	514	17.82224
201000	516	17.92064
201015	515	17.8714
201030	511	17.67524
201045	516	17.92064
201060	509	17.57764
201075	507	17.48036
201090	506	17.43184
201105	502	17.23856
201120	501	17.19044
201135	493	16.80836
201150	495	16.9034
201165	492	16.76096
201180	492	16.76096
201195	490	16.6664
201210	486	16.47824
201225	482	16.29136
201240	484	16.38464
201255	481	16.24484
201270	480	16.1984
201285	476	16.01344
201300	480	16.1984
201315	472	15.82976
201330	474	15.92144
201345	468	15.64736
201360	467	15.60196
201375	468	15.64736
201390	470	15.7384
201405	466	15.55664
201420	467	15.60196
201435	469	15.69284
201450	467	15.60196
201465	467	15.60196
201480	461	15.33124
201495	457	15.15236
201510	465	15.5114
201525	463	15.42116
201540	468	15.64736
201555	462	15.37616
201570	473	15.87556
201585	462	15.37616
201600	468	15.64736
201615	475	15.9674
201630	472	15.82976
201645	465	15.5114
201660	469	15.69284
201675	474	15.92144
201690	471	15.78404
201705	471	15.78404
201720	471	15.78404
201735	477	16.05956
201750	474	15.92144
201765	475	15.9674
201780	474	15.92144
201795	473	15.87556
201810	479	16.15204
201825	480	16.1984
201840	484	16.38464
201855	483	16.33796
201870	488	16.57216
201885	488	16.57216
201900	495	16.9034
201915	494	16.85584
201930	495	16.9034
201945	498	17.04656
201960	499	17.09444
201975	502	17.23856
201990	500	17.1424
202005	506	17.43184
202020	506	17.43184
202035	508	17.52896
202050	506	17.43184
202065	505	17.3834
202080	507	17.48036
202095	503	17.28676
202110	504	17.33504
202125	504	17.33504
202140	507	17.48036
202155	502	17.23856
202170	498	17.04656
202185	500	17.1424
202200	490	16.6664
202215	493	16.80836
202230	492	16.76096
202245	488	16.57216
202260	483	16.33796
202275	476	16.01344
202290	474	15.92144
202305	474	15.92144
202320	472	15.82976
202335	470	15.7384
202350	468	15.64736
202365	466	15.55664
202380	465	15.5114
202395	460	15.2864
202410	453	14.97476
202425	457	15.15236
202440	461	15.33124
202455	452	14.93056
202470	452	14.93056
202485	451	14.88644
202500	458	15.19696
202515	447	14.71076
202530	447	14.71076
202545	442	14.49296
202560	441	14.44964
202575	441	14.44964
202590	444	14.57984
202605	439	14.36324
202620	433	14.10596
202635	429	13.93604
202650	434	14.14864
202665	426	13.80944
202680	430	13.9784
202695	429	13.93604
202710	429	13.93604
202725	430	13.9784
202740	428	13.89376
202755	424	13.72544
202770	427	13.85156
202785	425	13.7674
202800	418	13.47536
202815	427	13.85156
202830	429	13.93604
202845	429	13.93604
202860	422	13.64176
202875	422	13.64176
202890	423	13.68356
202905	423	13.68356
202920	419	13.51684
202935	418	13.47536
202950	428	13.89376
202965	417	13.43396
202980	419	13.51684
202995	416	13.39264
203010	418	13.47536
203025	425	13.7674
203040	423	13.68356
203055	421	13.60004
203070	424	13.72544
203085	425	13.7674
203100	424	13.72544
203115	426	13.80944
203130	426	13.80944
203145	429	13.93604
203160	430	13.9784
203175	429	13.93604
203190	427	13.85156
203205	432	14.06336
203220	432	14.06336
203235	433	14.10596
203250	428	13.89376
203265	439	14.36324
203280	431	14.02084
203295	438	14.32016
203310	436	14.23424
203325	438	14.32016
203340	439	14.36324
203355	446	14.66704
203370	440	14.4064
203385	447	14.71076
203400	451	14.88644
203415	450	14.8424
203430	453	14.97476
203445	451	14.88644
203460	452	14.93056
203475	456	15.10784
203490	456	15.10784
203505	460	15.2864
203520	458	15.19696
203535	454	15.01904
203550	458	15.19696
203565	466	15.55664
203580	466	15.55664
203595	457	15.15236
203610	453	14.97476
203625	456	15.10784
203640	456	15.10784
203655	455	15.0634
203670	455	15.0634
203685	449	14.79844
203700	445	14.6234
203715	449	14.79844
203730	448	14.75456
203745	442	14.49296
203760	440	14.4064
203775	436	14.23424
203790	441	14.44964
203805	438	14.32016
203820	434	14.14864
203835	435	14.1914
203850	434	14.14864
203865	429	13.93604
203880	427	13.85156
203895	429	13.93604
203910	426	13.80944
203925	427	13.85156
203940	416	13.39264
203955	421	13.60004
203970	422	13.64176
203985	418	13.47536
204000	412	13.22816
204015	412	13.22816
204030	404	12.90304
204045	406	12.98384
204060	410	13.1464
204075	398	12.66256
204090	399	12.70244
204105	403	12.86276
204120	402	12.82256
204135	404	12.90304
204150	407	13.02436
204165	403	12.86276
204180	396	12.58304
204195	400	12.7424
204210	397	12.62276
204225	394	12.50384
204240	400	12.7424
204255	400	12.7424
204270	401	12.78244
204285	402	12.82256
204300	401	12.78244
204315	395	12.5434
204330	396	12.58304
204345	391	12.38564
204360	399	12.70244
204375	401	12.78244
204390	400	12.7424
204405	389	12.30724
204420	397	12.62276
204435	400	12.7424
204450	397	12.62276
204465	404	12.90304
204480	396	12.58304
204495	401	12.78244
204510	400	12.7424
204525	400	12.7424
204540	401	12.78244
204555	404	12.90304
204570	401	12.78244
204585	403	12.86276
204600	403	12.86276
204615	411	13.18724
204630	409	13.10564
204645	397	12.62276
204660	408	13.06496
204675	410	13.1464
204690	413	13.26916
204705	416	13.39264
204720	412	13.22816
204735	418	13.47536
204750	427	13.85156
204765	427	13.85156
204780	424	13.72544
204795	428	13.89376
204810	429	13.93604
204825	428	13.89376
204840	432	14.06336
204855	437	14.27716
204870	435	14.1914
204885	439	14.36324
204900	435	14.1914
204915	440	14.4064
204930	436	14.23424
204945	435	14.1914
204960	436	14.23424
204975	440	14.4064
204990	438	14.32016
205005	440	14.4064
205020	435	14.1914
205035	433	14.10596
205050	439	14.36324
205065	435	14.1914
205080	434	14.14864
205095	435	14.1914
205110	430	13.9784
205125	439	14.36324
205140	438	14.32016
205155	431	14.02084
205170	432	14.06336
205185	434	14.14864
205200	431	14.02084
205215	431	14.02084
205230	426	13.80944
205245	429	13.93604
205260	429	13.93604
205275	424	13.72544
205290	427	13.85156
205305	425	13.7674
205320	422	13.64176
205335	422	13.64176
205350	422	13.64176
205365	415	13.3514
205380	415	13.3514
205395	419	13.51684
205410	415	13.3514
205425	411	13.18724
205440	413	13.26916
205455	413	13.26916
205470	410	13.1464
205485	408	13.06496
205500	406	12.98384
205515	411	13.18724
205530	407	13.02436
205545	405	12.9434
205560	398	12.66256
205575	398	12.66256
205590	403	12.86276
205605	398	12.66256
205620	400	12.7424
205635	396	12.58304
205650	392	12.42496
205665	395	12.5434
205680	397	12.62276
205695	394	12.50384
205710	395	12.5434
205725	396	12.58304
205740	394	12.50384
205755	390	12.3464
205770	396	12.58304
205785	398	12.66256
205800	391	12.38564
205815	388	12.26816
205830	394	12.50384
205845	392	12.42496
205860	390	12.3464
205875	393	12.46436
205890	396	12.58304
205905	388	12.26816
205920	391	12.38564
205935	394	12.50384
205950	392	12.42496
205965	395	12.5434
205980	395	12.5434
205995	399	12.70244
206010	397	12.62276
206025	389	12.30724
206040	393	12.46436
206055	395	12.5434
206070	399	12.70244
206085	397	12.62276
206100	397	12.62276
206115	399	12.70244
206130	405	12.9434
206145	406	12.98384
206160	403	12.86276
206175	406	12.98384
206190	415	13.3514
206205	411	13.18724
206220	417	13.43396
206235	418	13.47536
206250	420	13.5584
206265	422	13.64176
206280	419	13.51684
206295	423	13.68356
206310	419	13.51684
206325	423	13.68356
206340	429	13.93604
206355	427	13.85156
206370	424	13.72544
206385	422	13.64176
206400	430	13.9784
206415	431	14.02084
206430	422	13.64176
206445	429	13.93604
206460	421	13.60004
206475	423	13.68356
206490	430	13.9784
206505	424	13.72544
206520	418	13.47536
206535	421	13.60004
206550	424	13.72544
206565	423	13.68356
206580	422	13.64176
206595	414	13.31024
206610	421	13.60004
206625	417	13.43396
206640	417	13.43396
206655	414	13.31024
206670	410	13.1464
206685	412	13.22816
206700	409	13.10564
206715	407	13.02436
206730	402	12.82256
206745	403	12.86276
206760	404	12.90304
206775	408	13.06496
206790	402	12.82256
206805	402	12.82256
206820	404	12.90304
206835	392	12.42496
206850	398	12.66256
206865	395	12.5434
206880	395	12.5434
206895	393	12.46436
206910	403	12.86276
206925	390	12.3464
206940	385	12.1514
206955	391	12.38564
206970	387	12.22916
206985	385	12.1514
207000	376	11.80544
207015	382	12.03536
207030	379	11.92004
207045	387	12.22916
207060	381	11.99684
207075	383	12.07396
207090	380	11.9584
207105	376	11.80544
207120	379	11.92004
207135	380	11.9584
207150	374	11.72944
207165	383	12.07396
207180	381	11.99684
207195	382	12.03536
207210	376	11.80544
207225	379	11.92004
207240	366	11.42864
207255	374	11.72944
207270	373	11.69156
207285	368	11.50336
207300	371	11.61604
207315	367	11.46596
207330	369	11.54084
207345	367	11.46596
207360	356	11.05984
207375	375	11.7674
207390	366	11.42864
207405	360	11.2064
207420	365	11.3914
207435	353	10.95076
207450	371	11.61604
207465	370	11.5784
207480	366	11.42864
207495	367	11.46596
207510	371	11.61604
207525	367	11.46596
207540	364	11.35424
207555	371	11.61604
207570	373	11.69156
207585	374	11.72944
207600	378	11.88176
207615	372	11.65376
207630	376	11.80544
207645	384	12.11264
207660	375	11.7674
207675	384	12.11264
207690	391	12.38564
207705	386	12.19024
207720	386	12.19024
207735	388	12.26816
207750	387	12.22916
207765	390	12.3464
207780	389	12.30724
207795	392	12.42496
207810	384	12.11264
207825	386	12.19024
207840	391	12.38564
207855	395	12.5434
207870	393	12.46436
207885	392	12.42496
207900	394	12.50384
207915	395	12.5434
207930	400	12.7424
207945	403	12.86276
207960	399	12.70244
207975	399	12.70244
207990	400	12.7424
208005	403	12.86276
208020	400	12.7424
208035	408	13.06496
208050	411	13.18724
208065	404	12.90304
208080	399	12.70244
208095	410	13.1464
208110	407	13.02436
208125	410	13.1464
208140	410	13.1464
208155	414	13.31024
208170	417	13.43396
208185	416	13.39264
208200	428	13.89376
208215	428	13.89376
208230	425	13.7674
208245	433	14.10596
208260	431	14.02084
208275	432	14.06336
208290	433	14.10596
208305	438	14.32016
208320	437	14.27716
208335	438	14.32016
208350	432	14.06336
208365	431	14.02084
208380	438	14.32016
208395	432	14.06336
208410	428	13.89376
208425	435	14.1914
208440	428	13.89376
208455	435	14.1914
208470	430	13.9784
208485	432	14.06336
208500	433	14.10596
208515	437	14.27716
208530	435	14.1914
208545	441	14.44964
208560	438	14.32016
208575	445	14.6234
208590	448	14.75456
208605	445	14.6234
208620	451	14.88644
208635	455	15.0634
208650	451	14.88644
208665	459	15.24164
208680	451	14.88644
208695	457	15.15236
208710	454	15.01904
208725	451	14.88644
208740	447	14.71076
208755	447	14.71076
208770	443	14.53636
208785	446	14.66704
208800	441	14.44964
208815	441	14.44964
208830	444	14.57984
208845	434	14.14864
208860	437	14.27716
208875	432	14.06336
208890	435	14.1914
208905	428	13.89376
208920	432	14.06336
208935	432	14.06336
208950	433	14.10596
208965	428	13.89376
208980	427	13.85156
208995	428	13.89376
209010	428	13.89376
209025	431	14.02084
209040	426	13.80944
209055	433	14.10596
209070	435	14.1914
209085	439	14.36324
209100	435	14.1914
209115	430	13.9784
209130	429	13.93604
209145	431	14.02084
209160	429	13.93604
209175	432	14.06336
209190	431	14.02084
209205	432	14.06336
209220	432	14.06336
209235	429	13.93604
209250	432	14.06336
209265	429	13.93604
209280	429	13.93604
209295	430	13.9784
209310	431	14.02084
209325	426	13.80944
209340	423	13.68356
209355	423	13.68356
209370	424	13.72544
209385	427	13.85156
209400	424	13.72544
209415	420	13.5584
209430	419	13.51684
209445	418	13.47536
209460	414	13.31024
209475	417	13.43396
209490	414	13.31024
209505	413	13.26916
209520	419	13.51684
209535	411	13.18724
209550	409	13.10564
209565	408	13.06496
209580	407	13.02436
209595	405	12.9434
209610	399	12.70244
209625	404	12.90304
209640	405	12.9434
209655	401	12.78244
209670	397	12.62276
209685	397	12.62276
209700	396	12.58304
209715	397	12.62276
209730	396	12.58304
209745	397	12.62276
209760	391	12.38564
209775	395	12.5434
209790	387	12.22916
209805	389	12.30724
209820	383	12.07396
209835	381	11.99684
209850	386	12.19024
209865	376	11.80544
209880	387	12.22916
209895	377	11.84356
209910	380	11.9584
209925	384	12.11264
209940	384	12.11264
209955	381	11.99684
209970	384	12.11264
209985	384	12.11264
210000	376	11.80544
210015	380	11.9584
210030	380	11.9584
210045	378	11.88176
210060	383	12.07396
210075	380	11.9584
210090	379	11.92004
210105	381	11.99684
210120	378	11.88176
210135	377	11.84356
210150	381	11.99684
210165	371	11.61604
210180	376	11.80544
210195	377	11.84356
210210	379	11.92004
210225	378	11.88176
210240	379	11.92004
210255	380	11.9584
210270	381	11.99684
210285	382	12.03536
210300	377	11.84356
210315	380	11.9584
210330	382	12.03536
210345	382	12.03536
210360	379	11.92004
210375	383	12.07396
210390	371	11.61604
210405	382	12.03536
210420	378	11.88176
210435	384	12.11264
210450	379	11.92004
210465	382	12.03536
210480	382	12.03536
210495	386	12.19024
210510	388	12.26816
210525	385	12.1514
210540	385	12.1514
210555	388	12.26816
210570	387	12.22916
210585	391	12.38564
210600	393	12.46436
210615	391	12.38564
210630	387	12.22916
210645	389	12.30724
210660	393	12.46436
210675	390	12.3464
210690	387	12.22916
210705	381	11.99684
210720	393	12.46436
210735	388	12.26816
210750	394	12.50384
210765	385	12.1514
210780	382	12.03536
210795	388	12.26816
210810	388	12.26816
210825	383	12.07396
210840	383	12.07396
210855	382	12.03536
210870	388	12.26816
210885	384	12.11264
210900	375	11.7674
210915	383	12.07396
210930	381	11.99684
210945	380	11.9584
210960	383	12.07396
210975	373	11.69156
210990	376	11.80544
211005	384	12.11264
211020	375	11.7674
211035	373	11.69156
211050	377	11.84356
211065	375	11.7674
211080	375	11.7674
211095	371	11.61604
211110	371	11.61604
211125	372	11.65376
211140	371	11.61604
211155	372	11.65376
211170	367	11.46596
211185	364	11.35424
211200	368	11.50336
211215	369	11.54084
211230	363	11.31716
211245	366	11.42864
211260	366	11.42864
211275	362	11.28016
211290	357	11.09636
211305	365	11.3914
211320	362	11.28016
211335	354	10.98704
211350	360	11.2064
211365	358	11.13296
211380	353	10.95076
211395	353	10.95076
211410	348	10.77056
211425	355	11.0234
211440	356	11.05984
211455	356	11.05984
211470	351	10.87844
211485	360	11.2064
211500	350	10.8424
211515	357	11.09636
211530	359	11.16964
211545	354	10.98704
211560	360	11.2064
211575	355	11.0234
211590	356	11.05984
211605	356	11.05984
211620	348	10.77056
211635	352	10.91456
211650	352	10.91456
211665	347	10.73476
211680	351	10.87844
211695	345	10.6634
211710	350	10.8424
211725	348	10.77056
211740	347	10.73476
211755	350	10.8424
211770	351	10.87844
211785	354	10.98704
211800	349	10.80644
211815	350	10.8424
211830	354	10.98704
211845	356	11.05984
211860	363	11.31716
211875	358	11.13296
211890	365	11.3914
211905	358	11.13296
211920	365	11.3914
211935	370	11.5784
211950	366	11.42864
211965	362	11.28016
211980	368	11.50336
211995	372	11.65376
212010	362	11.28016
212025	369	11.54084
212040	376	11.80544
212055	372	11.65376
212070	371	11.61604
212085	371	11.61604
212100	377	11.84356
212115	364	11.35424
212130	360	11.2064
212145	376	11.80544
212160	377	11.84356
212175	378	11.88176
212190	372	11.65376
212205	381	11.99684
212220	391	12.38564
212235	398	12.66256
212250	404	12.90304
212265	407	13.02436
212280	415	13.3514
212295	418	13.47536
212310	427	13.85156
212325	420	13.5584
212340	430	13.9784
212355	433	14.10596
212370	436	14.23424
212385	451	14.88644
212400	457	15.15236
212415	470	15.7384
212430	493	16.80836
212445	528	18.51776
212460	566	20.48464
212475	595	22.0634
212490	628	23.94176
212505	651	25.30244
212520	693	27.89636
212535	737	30.76516
212550	774	33.29744
212565	834	37.63664
212580	886	41.63024
212595	922	44.52176
212610	1001	51.23044
212625	997	50.87876
212640	1035	54.2714
212655	1034	54.18064
212670	1007	51.76036
212685	979	49.31204
212700	984	49.74464
212715	947	46.59076
212730	963	47.94116
212745	938	45.84016
212760	907	43.30436
212775	898	42.58256
212790	898	42.58256
212805	888	41.78816
212820	874	40.68944
212835	891	42.02564
212850	881	41.23684
212865	892	42.10496
212880	872	40.53376
212895	862	39.76016
212910	852	38.99456
212925	823	36.81956
212940	810	35.8664
212955	792	34.56896
212970	772	33.15776
212985	767	32.80996
213000	749	31.57444
213015	728	30.16576
213030	710	28.9864
213045	708	28.85696
213060	698	28.21456
213075	697	28.15076
213090	688	27.58016
213105	685	27.3914
213120	663	26.02916
213135	675	26.7674
213150	646	25.00304
213165	658	25.72496
213180	652	25.36256
213195	644	24.88384
213210	632	24.17536
213225	630	24.0584
213240	629	24.00004
213255	623	23.65156
213270	623	23.65156
213285	614	23.13424
213300	602	22.45456
213315	607	22.73636
213330	604	22.56704
213345	588	21.67616
213360	592	21.89696
213375	590	21.7864
213390	586	21.56624
213405	586	21.56624
213420	575	20.9674
213435	575	20.9674
213450	572	20.80576
213465	563	20.32516
213480	552	19.74656
213495	563	20.32516
213510	550	19.6424
213525	551	19.69444
213540	545	19.3834
213555	546	19.43504
213570	533	18.76996
213585	529	18.56804
213600	530	18.6184
213615	524	18.31744
213630	526	18.41744
213645	519	18.06884
213660	520	18.1184
213675	516	17.92064
213690	508	17.52896
213705	509	17.57764
213720	499	17.09444
213735	491	16.71364
213750	489	16.61924
213765	488	16.57216
213780	486	16.47824
213795	485	16.4314
213810	478	16.10576
213825	479	16.15204
213840	460	15.2864
213855	462	15.37616
213870	463	15.42116
213885	456	15.10784
213900	457	15.15236
213915	452	14.93056
213930	449	14.79844
213945	453	14.97476
213960	438	14.32016
213975	443	14.53636
213990	438	14.32016
214005	437	14.27716
214020	433	14.10596
214035	437	14.27716
214050	432	14.06336
214065	428	13.89376
214080	429	13.93604
214095	421	13.60004
214110	414	13.31024
214125	416	13.39264
214140	421	13.60004
214155	417	13.43396
214170	411	13.18724
214185	407	13.02436
214200	405	12.9434
214215	408	13.06496
214230	407	13.02436
214245	401	12.78244
214260	406	12.98384
214275	399	12.70244
214290	402	12.82256
214305	409	13.10564
214320	398	12.66256
214335	404	12.90304
214350	400	12.7424
214365	398	12.66256
214380	391	12.38564
214395	390	12.3464
214410	393	12.46436
214425	387	12.22916
214440	386	12.19024
214455	385	12.1514
214470	391	12.38564
214485	380	11.9584
214500	381	11.99684
214515	384	12.11264
214530	376	11.80544
214545	376	11.80544
214560	376	11.80544
214575	371	11.61604
214590	370	11.5784
214605	374	11.72944
214620	374	11.72944
214635	371	11.61604
214650	368	11.50336
214665	374	11.72944
214680	368	11.50336
214695	371	11.61604
214710	372	11.65376
214725	366	11.42864
