t [min]	h [mm]	Q [m3/s]
5400	457	10.1
5415	461	10.2
5430	463	10.3
5445	468	10.4
5460	458	10.2
5475	460	10.2
5490	464	10.3
5505	464	10.3
5520	464	10.3
5535	462	10.3
5550	461	10.2
5565	459	10.2
5580	466	10.3
5595	462	10.3
5610	463	10.3
5625	465	10.3
5640	458	10.2
5655	457	10.1
5670	466	10.3
5685	460	10.2
5700	464	10.3
5715	461	10.2
5730	458	10.2
5745	457	10.1
5760	462	10.3
5775	455	10.1
5790	456	10.1
5805	453	10.1
5820	457	10.1
5835	457	10.1
5850	461	10.2
5865	456	10.1
5880	459	10.2
5895	453	10.1
5910	452	10.0
5925	456	10.1
5940	457	10.1
5955	459	10.2
5970	457	10.1
5985	456	10.1
6000	454	10.1
6015	451	10.0
6030	455	10.1
6045	450	10.0
6060	436	9.7
6075	452	10.0
6090	452	10.0
6105	454	10.1
6120	446	9.9
6135	453	10.1
6150	444	9.9
6165	449	10.0
6180	450	10.0
6195	450	10.0
6210	447	9.9
6225	450	10.0
6240	443	9.8
6255	451	10.0
6270	447	9.9
6285	444	9.9
6300	446	9.9
6315	443	9.8
6330	447	9.9
6345	442	9.8
6360	442	9.8
6375	436	9.7
6390	443	9.8
6405	436	9.7
6420	441	9.8
6435	440	9.8
6450	442	9.8
6465	439	9.8
6480	437	9.7
6495	442	9.8
6510	439	9.8
6525	440	9.8
6540	432	9.6
6555	439	9.8
6570	438	9.7
6585	437	9.7
6600	438	9.7
6615	442	9.8
6630	437	9.7
6645	442	9.8
6660	436	9.7
6675	439	9.8
6690	441	9.8
6705	438	9.7
6720	439	9.8
6735	440	9.8
6750	438	9.7
6765	436	9.7
6780	439	9.8
6795	435	9.7
6810	441	9.8
6825	440	9.8
6840	439	9.8
6855	432	9.6
6870	434	9.7
6885	439	9.8
6900	438	9.7
6915	439	9.8
6930	439	9.8
6945	442	9.8
6960	440	9.8
6975	442	9.8
6990	433	9.6
7005	437	9.7
7020	440	9.8
7035	435	9.7
7050	439	9.8
7065	435	9.7
7080	439	9.8
7095	436	9.7
7110	433	9.6
7125	435	9.7
7140	435	9.7
7155	435	9.7
