  section         X    mean y
        1      -440       0.4
        2      -390       0.8
        3      -340       1.4
        4      -290       1.6
        5      -240       2.4
        6      -190       3.0
        7      -140       3.1
        8       -90       4.0
        9       -40       3.4
       10        10       3.9
       11        60       3.9
       12       110       4.7
       13       160       4.8
       14       210       4.3
       15       260       4.5
       16       310       4.6
       17       360       5.4
       18       410       4.4
       19       460       4.9
       20       510       4.4
       21       560       4.7
       22       610       4.2
       23       660       4.8
       24       710       4.1
       25       760       4.0
       26       810       4.2
       27       860       3.5
       28       910       4.2
       29       960       3.4
       30      1010       2.8
       31      1060       3.7
       32      1110       3.7
       33      1160       4.1
       34      1210       4.0
       35      1260       4.9
       36      1310       3.7
       37      1360       3.1
       38      1410       2.9
       39      1460       1.3
       40      1510       1.3
       41      1560       0.7
       42      1610       1.1
       43      1660       1.0
       44      1710       1.0
       45      1760       1.6
       46      1810       1.2
       47      1860       1.3
       48      1910       1.1
       49      1960       1.3
       50      2010       0.8
       51      2060       0.8
       52      2110       1.1
       53      2160       0.6
       54      2210       0.9
       55      2260       0.1
       56      2310       0.6
       57      2360      -0.3
       58      2410      -0.6
       59      2460      -0.9
       60      2510      -0.7
       61      2560      -0.2
       62      2610      -0.3
       63      2660       0.4
       64      2710      -0.2
       65      2760       0.6
       66      2810       0.7
       67      2860       1.0
       68      2910       0.2
       69      2960       0.0
       70      3010      -0.1
       71      3060      -0.3
       72      3110       0.0
       73      3160       0.0
       74      3210       0.8
       75      3260       1.1
       76      3310       2.0
       77      3360       1.6
       78      3410       2.1
       79      3460       2.0
       80      3510       1.7
       81      3560       1.9
       82      3610       2.0
       83      3660       2.3
       84      3710       2.2
       85      3760       2.6
       86      3810       2.1
       87      3860       2.5
       88      3910       1.7
       89      3960       1.5
       90      4010       1.2
       91      4060       0.6
       92      4110       0.1
       93      4160       0.2
       94      4210       0.2
       95      4260      -0.6
       96      4310       0.0
       97      4360      -0.8
       98      4410      -0.5
       99      4460      -1.2
      100      4510      -0.4
      101      4560      -0.8
      102      4610      -0.8
      103      4660      -0.2
      104      4710       0.4
      105      4760       0.1
      106      4810      -0.4
      107      4860       0.5
      108      4910      -0.5
      109      4960      -0.2
      110      5010      -1.1
      111      5060      -0.9
      112      5110      -1.4
      113      5160      -0.4
      114      5210      -1.2
      115      5260      -0.1
      116      5310      -0.8
      117      5360      -0.2
      118      5410      -0.7
      119      5460      -0.5
      120      5510      -0.5
      121      5560      -0.2
      122      5610       0.1
      123      5660      -0.6
      124      5710      -0.5
      125      5760      -0.4
      126      5810       0.1
      127      5860      -0.2
      128      5910       0.4
      129      5960       0.0
      130      6010       1.0
      131      6060       0.6
      132      6110       1.4
      133      6160       1.0
      134      6210       1.0
      135      6260       1.2
      136      6310       1.0
      137      6360       1.4
      138      6410       1.2
      139      6460       1.9
      140      6510       1.4
      141      6560       2.2
      142      6610       1.6
      143      6660       2.1
      144      6710       2.4
      145      6760       3.3
      146      6810       2.6
      147      6860       3.5
      148      6910       2.7
      149      6960       3.2
      150      7010       3.0
      151      7060       3.3
      152      7110       3.1
      153      7160       3.2
      154      7210       3.2
      155      7260       2.7
      156      7310       2.7
      157      7360       2.3
      158      7410       2.9
      159      7460       2.3
      160      7510       2.6
      161      7560       1.9
      162      7610       2.5
      163      7660       1.7
      164      7710       2.3
      165      7760       1.6
      166      7810       1.9
      167      7860       0.8
      168      7910       1.3
      169      7960       0.8
      170      8010       0.6
      171      8060       0.0
      172      8110       0.4
      173      8160       0.7
      174      8210      -0.1
      175      8260      -0.4
      176      8310      -1.0
      177      8360      -0.5
      178      8410      -0.9
      179      8460      -0.4
      180      8510      -1.3
      181      8560      -0.7
      182      8610      -1.3
      183      8660      -1.0
      184      8710      -1.7
      185      8760      -0.9
      186      8810      -1.4
      187      8860      -1.2
      188      8910      -1.7
      189      8960      -1.5
      190      9010      -1.8
      191      9060      -1.4
      192      9110      -1.5
      193      9160      -1.9
      194      9210      -1.7
      195      9260      -2.1
      196      9310      -1.7
      197      9360      -2.5
      198      9410      -1.7
      199      9460      -2.6
      200      9510      -2.0
      201      9560      -2.3
      202      9610      -1.8
      203      9660      -2.2
      204      9710      -1.8
      205      9760      -2.5
      206      9810      -2.1
      207      9860      -2.2
