4.5742,5.3136,5.5036,5.7935,6.0591,6.1944,6.3127,6.2547,6.2457,6.3339,6.4702,6.2876,6.6378,6.7982,7.0056,6.8859
4.4906,4.9786,5.3577,5.7812,6.0141,5.9715,5.8951,5.7488,6.0099,5.9926,6.0030,6.1507,6.3636,6.6791,6.7285,nan
3.8027,4.7506,5.3749,5.7405,5.8116,5.7034,5.6680,5.6640,5.8943,5.8894,6.0798,6.2783,6.5891,6.6923,nan,nan
4.2779,5.2962,5.4910,5.5900,5.6328,5.5200,5.6224,5.8087,5.7518,5.9923,6.3416,6.6148,6.6298,nan,nan,nan
4.0916,4.8306,5.1456,5.1704,5.1733,5.2083,5.3388,5.3803,5.5915,5.9103,6.2446,6.2459,nan,nan,nan,nan
3.8553,4.4532,4.7527,4.7152,4.9139,5.1063,5.0612,5.2793,5.6567,5.8377,5.9714,nan,nan,nan,nan,nan
3.7656,4.0859,4.2377,4.4406,4.6971,4.6784,5.0034,5.3818,5.6944,5.8533,nan,nan,nan,nan,nan,nan
3.2999,3.6859,3.7885,4.0414,4.2749,4.7109,5.0921,5.6029,5.6825,nan,nan,nan,nan,nan,nan,nan
3.7103,3.4908,3.9442,4.1941,4.5339,5.0166,5.4621,5.5756,nan,nan,nan,nan,nan,nan,nan,nan
3.7154,3.9704,4.1941,4.4081,4.8483,5.3375,5.4593,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5513,3.8902,4.2796,4.7836,5.3131,5.4642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.4722,3.8302,4.4981,5.0799,5.2977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.4554,4.1901,4.8282,5.0384,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.6950,4.4257,4.7640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5682,4.2742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.6702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
