0.3597,0.4620,0.5041,0.5405,0.5911,0.6271,0.6406,0.6578,0.6614,0.6765,0.6880,0.7133,0.7225,0.7251,0.7345,0.7561
0.3550,0.4341,0.5107,0.5613,0.5908,0.6223,0.6429,0.6597,0.6557,0.6684,0.6809,0.7074,0.7024,0.7038,0.7111,0.0000
0.3290,0.4250,0.4987,0.5511,0.5764,0.6110,0.6146,0.6364,0.6434,0.6573,0.6908,0.6932,0.6997,0.7043,0.0000,0.0000
0.3238,0.4180,0.5041,0.5460,0.5701,0.5819,0.5881,0.6132,0.6391,0.6738,0.6657,0.6716,0.6779,0.0000,0.0000,0.0000
0.3042,0.4171,0.4625,0.5116,0.5194,0.5379,0.5707,0.5941,0.6291,0.6371,0.6465,0.6604,0.0000,0.0000,0.0000,0.0000
0.3007,0.3883,0.4526,0.4706,0.4906,0.5040,0.5465,0.5919,0.5976,0.6287,0.6337,0.0000,0.0000,0.0000,0.0000,0.0000
0.2630,0.3457,0.3753,0.4305,0.4574,0.5135,0.5369,0.5583,0.5759,0.5923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2368,0.2547,0.3674,0.4138,0.4791,0.5139,0.5355,0.5470,0.5729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1224,0.2775,0.3879,0.4475,0.5000,0.5118,0.5307,0.5649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2814,0.3798,0.4612,0.4993,0.5130,0.5412,0.5635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3046,0.3915,0.4577,0.4677,0.4948,0.5234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2513,0.3669,0.3947,0.4499,0.4884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2695,0.3480,0.4101,0.4649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2467,0.3639,0.4216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2676,0.3603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
