4.6964,5.3934,5.7974,6.0202,5.8266,5.8781,6.0144,5.9433,5.8540,6.0597,5.9889,5.7099,5.8260,6.0478,6.3005,6.1578
4.5301,5.1472,5.6602,5.6093,5.6957,5.5946,5.4934,5.4069,5.7225,5.5797,5.4927,5.5781,5.8547,6.3861,6.3394,nan
4.0150,5.1095,5.3024,5.4981,5.5079,5.5135,5.4751,5.6093,5.5600,5.4655,5.6880,5.9696,6.4816,6.4470,nan,nan
4.2316,5.2116,5.4125,5.4277,5.5249,5.4036,5.5958,5.5751,5.3571,5.6793,6.1101,6.5680,6.4620,nan,nan,nan
3.9825,4.8201,5.1619,5.3307,5.2776,5.5774,5.4230,5.2588,5.5088,5.9313,6.2919,6.2450,nan,nan,nan,nan
4.0460,4.5937,4.9460,4.9582,5.2474,5.2608,5.0592,5.2060,5.6782,5.9396,6.1340,nan,nan,nan,nan,nan
3.8149,4.3069,4.5732,4.9366,4.9483,4.8418,5.1166,5.5309,5.9085,6.0456,nan,nan,nan,nan,nan,nan
3.5853,4.0099,4.2064,4.2880,4.4442,4.8180,5.2714,5.7413,5.8390,nan,nan,nan,nan,nan,nan,nan
3.9208,3.6762,4.0278,4.3282,4.5283,5.0205,5.5561,5.7577,nan,nan,nan,nan,nan,nan,nan,nan
3.9022,4.0677,4.2742,4.3955,4.9415,5.5290,5.7109,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5365,3.9596,4.3232,4.8361,5.3743,5.6720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5352,3.8292,4.5460,5.1617,5.5182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.4854,4.1064,4.7946,5.2443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5667,4.3531,4.8711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5272,4.3394,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.7024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
