4.3650,5.0712,5.0481,5.4591,5.9159,6.0387,6.0934,6.0521,6.1710,6.1961,6.4190,6.2943,6.9533,7.2008,7.1733,7.2286
4.2854,4.6616,5.0319,5.7373,6.0259,5.9875,5.9639,5.8343,6.0181,6.0873,6.0885,6.3722,6.4530,6.5792,6.7600,nan
3.5983,4.4924,5.3208,5.6811,5.8837,5.6143,5.7105,5.4996,5.9107,5.9380,6.0524,6.1866,6.2558,6.5886,nan,nan
4.3228,5.3482,5.4309,5.5582,5.4718,5.4964,5.4553,5.7491,5.7923,5.9629,6.2693,6.2786,6.5765,nan,nan,nan
4.1917,4.8272,5.1902,5.0129,5.2152,4.9339,5.2464,5.4291,5.5276,5.7319,5.9227,6.0782,nan,nan,nan,nan
3.7184,4.2799,4.4999,4.6062,4.6060,4.9549,5.0491,5.2688,5.4841,5.5117,5.6415,nan,nan,nan,nan,nan
3.6705,3.9082,3.9846,4.1252,4.5375,4.5688,4.9506,5.2398,5.3856,5.5378,nan,nan,nan,nan,nan,nan
3.0017,3.3053,3.4364,3.8847,4.1589,4.6174,4.8961,5.2991,5.4200,nan,nan,nan,nan,nan,nan,nan
3.4112,3.2746,3.8305,4.0521,4.4471,4.8708,5.1636,5.2920,nan,nan,nan,nan,nan,nan,nan,nan
3.5516,3.8307,4.0857,4.2933,4.5937,4.9162,5.1212,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.4947,3.7767,4.1062,4.6091,5.0199,5.1315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5324,3.8563,4.4365,4.9162,5.0288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5377,4.1811,4.6580,4.7991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.6659,4.2873,4.6675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.4473,4.2001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.5539,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
