Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-3.000,-2.950,0.000,0.000,0
-2.950,-2.900,0.000,0.000,0
-2.900,-2.850,0.000,0.000,0
-2.850,-2.800,0.000,0.000,0
-2.800,-2.750,0.000,0.000,0
-2.750,-2.700,0.500,1.361,2
-2.700,-2.650,0.000,0.000,0
-2.650,-2.600,0.000,0.000,0
-2.600,-2.550,0.750,1.922,3
-2.550,-2.500,0.750,1.902,3
-2.500,-2.450,1.250,3.098,5
-2.450,-2.400,3.250,7.895,13
-2.400,-2.350,7.000,16.598,28
-2.350,-2.300,8.500,19.727,34
-2.300,-2.250,13.750,31.336,55
-2.250,-2.200,23.500,52.246,94
-2.200,-2.150,24.750,53.859,99
-2.150,-2.100,21.750,46.213,87
-2.100,-2.050,21.000,43.593,84
-2.050,-2.000,21.750,44.031,87
-2.000,-1.950,28.000,55.325,112
-1.950,-1.900,36.000,69.256,144
-1.900,-1.850,40.250,75.441,161
-1.850,-1.800,42.500,77.515,170
-1.800,-1.750,48.500,86.079,194
-1.750,-1.700,58.000,100.045,232
-1.700,-1.650,69.000,115.545,276
-1.650,-1.600,103.750,168.546,415
-1.600,-1.550,147.500,232.021,590
-1.550,-1.500,248.750,378.888,995
-1.500,-1.450,321.250,473.498,1285
-1.450,-1.400,454.750,647.297,1819
-1.400,-1.350,567.250,779.586,2269
-1.350,-1.300,694.750,919.878,2779
-1.300,-1.250,784.000,999.563,3136
-1.250,-1.200,935.000,1144.303,3740
-1.200,-1.150,1190.000,1396.755,4760
-1.150,-1.100,1552.250,1744.374,6209
-1.100,-1.050,2099.750,2254.137,8399
-1.050,-1.000,2665.000,2728.174,10660
-1.000,-0.950,3438.500,3350.328,13754
-0.950,-0.900,4475.500,4133.875,17902
-0.900,-0.850,5408.500,4729.317,21634
-0.850,-0.800,6673.000,5499.578,26692
-0.800,-0.750,7801.500,6040.864,31206
-0.750,-0.700,9581.500,6936.680,38326
-0.700,-0.650,11121.000,7502.435,44484
-0.650,-0.600,12509.750,7811.344,50039
-0.600,-0.550,14614.500,8394.309,58458
-0.550,-0.500,16895.250,8862.535,67581
-0.500,-0.450,19244.250,9128.338,76977
-0.450,-0.400,21987.750,9335.444,87951
-0.400,-0.350,23853.750,8932.824,95415
-0.350,-0.300,24385.750,7933.886,97543
-0.300,-0.250,25432.250,6975.173,101729
-0.250,-0.200,27963.500,6300.952,111854
-0.200,-0.150,12328.000,2276.875,49312
-0.150,-0.100,1.500,0.223,6
-0.100,-0.050,0.000,0.000,0
-0.050,-0.000,0.000,0.000,0
-0.000,0.050,21771.750,794.604,87087
0.050,0.100,35894.250,2645.180,143577
0.100,0.150,26398.250,3267.819,105593
0.150,0.200,20079.500,3494.279,80318
0.200,0.250,16337.500,3656.912,65350
0.250,0.300,12859.250,3526.402,51437
0.300,0.350,10308.750,3338.871,41235
0.350,0.400,8151.750,3049.829,32607
0.400,0.450,6465.500,2742.183,25862
0.450,0.500,5358.750,2541.429,21435
0.500,0.550,4413.500,2313.369,17654
0.550,0.600,3361.500,1928.861,13446
0.600,0.650,2544.750,1588.578,10179
0.650,0.700,1909.250,1285.918,7637
0.700,0.750,1369.000,991.036,5476
0.750,0.800,1073.750,830.687,4295
0.800,0.850,803.250,661.701,3213
0.850,0.900,716.500,626.227,2866
0.900,0.950,584.250,539.814,2337
0.950,1.000,474.500,462.236,1898
1.000,1.050,346.500,354.643,1386
1.050,1.100,274.000,294.443,1096
1.100,1.150,273.750,308.024,1095
1.150,1.200,229.250,269.231,917
1.200,1.250,181.750,222.322,727
1.250,1.300,105.000,133.822,420
1.300,1.350,78.250,103.650,313
1.350,1.400,61.250,84.252,245
1.400,1.450,37.250,53.017,149
1.450,1.500,33.500,49.335,134
1.500,1.550,28.000,42.691,112
1.550,1.600,21.750,34.229,87
1.600,1.650,15.250,24.743,61
1.650,1.700,8.000,13.351,32
1.700,1.750,3.000,5.162,12
1.750,1.800,2.000,3.541,8
1.800,1.850,2.000,3.640,8
1.850,1.900,0.750,1.404,3
1.900,1.950,0.250,0.479,1
1.950,2.000,0.000,0.000,0
2.000,2.050,0.000,0.000,0
2.050,2.100,0.000,0.000,0
2.100,2.150,0.000,0.000,0
2.150,2.200,0.000,0.000,0
2.200,2.250,0.000,0.000,0
2.250,2.300,0.000,0.000,0
2.300,2.350,0.000,0.000,0
2.350,2.400,0.000,0.000,0
2.400,2.450,0.000,0.000,0
2.450,2.500,0.000,0.000,0
2.500,2.550,0.000,0.000,0
2.550,2.600,0.000,0.000,0
2.600,2.650,0.000,0.000,0
2.650,2.700,0.000,0.000,0
2.700,2.750,0.000,0.000,0
2.750,2.800,0.000,0.000,0
2.800,2.850,0.000,0.000,0
2.850,2.900,0.000,0.000,0
2.900,2.950,0.000,0.000,0
2.950,3.000,0.000,0.000,0
