Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-3.000,-2.950,0.000,0.000,0
-2.950,-2.900,0.000,0.000,0
-2.900,-2.850,0.000,0.000,0
-2.850,-2.800,0.000,0.000,0
-2.800,-2.750,0.000,0.000,0
-2.750,-2.700,0.000,0.000,0
-2.700,-2.650,0.000,0.000,0
-2.650,-2.600,0.000,0.000,0
-2.600,-2.550,0.250,0.646,1
-2.550,-2.500,0.250,0.636,1
-2.500,-2.450,0.000,0.000,0
-2.450,-2.400,0.500,1.206,2
-2.400,-2.350,1.000,2.391,4
-2.350,-2.300,1.000,2.326,4
-2.300,-2.250,3.000,6.841,12
-2.250,-2.200,3.000,6.651,12
-2.200,-2.150,6.500,14.078,26
-2.150,-2.100,13.500,28.682,54
-2.100,-2.050,15.500,32.103,62
-2.050,-2.000,25.750,52.138,103
-2.000,-1.950,22.750,44.956,91
-1.950,-1.900,20.250,39.007,81
-1.900,-1.850,20.250,38.002,81
-1.850,-1.800,29.500,53.858,118
-1.800,-1.750,30.500,54.072,122
-1.750,-1.700,39.250,67.596,157
-1.700,-1.650,38.500,64.408,154
-1.650,-1.600,46.500,75.487,186
-1.600,-1.550,59.500,93.749,238
-1.550,-1.500,57.250,87.290,229
-1.500,-1.450,90.000,132.521,360
-1.450,-1.400,130.000,184.987,520
-1.400,-1.350,233.000,320.057,932
-1.350,-1.300,319.750,423.368,1279
-1.300,-1.250,470.500,598.996,1882
-1.250,-1.200,612.250,749.577,2449
-1.200,-1.150,704.000,826.600,2816
-1.150,-1.100,790.000,888.299,3160
-1.100,-1.050,965.250,1036.876,3861
-1.050,-1.000,1229.750,1259.091,4919
-1.000,-0.950,1566.500,1525.399,6266
-0.950,-0.900,2142.750,1979.964,8571
-0.900,-0.850,2749.250,2401.718,10997
-0.850,-0.800,3493.000,2878.398,13972
-0.800,-0.750,4718.750,3652.491,18875
-0.750,-0.700,5530.000,4004.564,22120
-0.700,-0.650,6869.500,4631.937,27478
-0.650,-0.600,8247.250,5146.652,32989
-0.600,-0.550,10430.000,5987.860,41720
-0.550,-0.500,12028.250,6308.418,48113
-0.500,-0.450,14227.500,6748.124,56910
-0.450,-0.400,17029.250,7225.202,68117
-0.400,-0.350,20301.000,7596.881,81204
-0.350,-0.300,23576.500,7645.200,94306
-0.300,-0.250,29273.000,8027.095,117092
-0.250,-0.200,35672.000,7998.319,142688
-0.200,-0.150,44686.500,7774.238,178746
-0.150,-0.100,59671.500,7374.418,238686
-0.100,-0.050,110967.000,7870.539,443868
-0.050,-0.000,234318.750,5944.569,937275
-0.000,0.050,162207.500,2572.008,648830
0.050,0.100,67664.500,4965.114,270658
0.100,0.150,47673.000,5895.498,190692
0.150,0.200,33976.500,5898.965,135906
0.200,0.250,24789.000,5546.745,99156
0.250,0.300,19683.750,5396.702,78735
0.300,0.350,16064.500,5206.169,64258
0.350,0.400,12828.750,4796.294,51315
0.400,0.450,10096.750,4280.974,40387
0.450,0.500,8328.750,3950.473,33315
0.500,0.550,6821.750,3574.260,27287
0.550,0.600,5517.750,3168.468,22071
0.600,0.650,4645.500,2899.589,18582
0.650,0.700,3823.750,2577.508,15295
0.700,0.750,3055.500,2211.900,12222
0.750,0.800,2287.750,1769.915,9151
0.800,0.850,1487.500,1225.441,5950
0.850,0.900,1252.250,1095.372,5009
0.900,0.950,1035.000,956.183,4140
0.950,1.000,779.750,759.866,3119
1.000,1.050,683.750,700.609,2735
1.050,1.100,575.500,618.257,2302
1.100,1.150,453.000,509.233,1812
1.150,1.200,323.750,379.841,1295
1.200,1.250,277.750,340.273,1111
1.250,1.300,273.750,349.021,1095
1.300,1.350,239.500,317.186,958
1.350,1.400,157.750,216.622,631
1.400,1.450,102.500,145.799,410
1.450,1.500,75.500,111.205,302
1.500,1.550,57.750,88.061,231
1.550,1.600,37.250,58.582,149
1.600,1.650,29.750,48.297,119
1.650,1.700,31.750,53.172,127
1.700,1.750,22.250,38.329,89
1.750,1.800,15.250,27.043,61
1.800,1.850,7.500,13.661,30
1.850,1.900,4.000,7.485,16
1.900,1.950,2.000,3.848,8
1.950,2.000,2.000,3.922,8
2.000,2.050,1.500,3.044,6
2.050,2.100,0.250,0.517,1
2.100,2.150,0.000,0.000,0
2.150,2.200,0.000,0.000,0
2.200,2.250,0.000,0.000,0
2.250,2.300,0.000,0.000,0
2.300,2.350,0.000,0.000,0
2.350,2.400,0.000,0.000,0
2.400,2.450,0.000,0.000,0
2.450,2.500,0.000,0.000,0
2.500,2.550,0.000,0.000,0
2.550,2.600,0.000,0.000,0
2.600,2.650,0.000,0.000,0
2.650,2.700,0.000,0.000,0
2.700,2.750,0.000,0.000,0
2.750,2.800,0.000,0.000,0
2.800,2.850,0.000,0.000,0
2.850,2.900,0.000,0.000,0
2.900,2.950,0.000,0.000,0
2.950,3.000,0.000,0.000,0
