DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_1-0_filt_ult_gis.txt, 33646.000, 49.900, 38434.900, -38385.000, 16133.000, 0.484, 
DoD_2-0_filt_ult_gis.txt, 33629.000, 91.400, 46611.200, -46519.800, 17457.000, 0.523, 
DoD_2-1_filt_ult_gis.txt, 33633.000, 628.700, 30727.900, -30099.200, 12995.000, 0.390, 
DoD_3-0_filt_ult_gis.txt, 33640.000, -2428.800, 59311.000, -61739.800, 21229.000, 0.636, 
DoD_3-1_filt_ult_gis.txt, 33642.000, -940.200, 54079.100, -55019.300, 18936.000, 0.568, 
DoD_3-2_filt_ult_gis.txt, 33632.000, -1107.400, 45871.100, -46978.500, 18362.000, 0.550, 
DoD_4-0_filt_ult_gis.txt, 33636.000, -1799.500, 65789.800, -67589.300, 22712.000, 0.681, 
DoD_4-1_filt_ult_gis.txt, 33637.000, -743.500, 67385.700, -68129.200, 22175.000, 0.665, 
DoD_4-2_filt_ult_gis.txt, 33630.000, -623.000, 62118.600, -62741.600, 21859.000, 0.655, 
DoD_4-3_filt_ult_gis.txt, 33642.000, 1976.300, 41944.200, -39967.900, 17333.000, 0.520, 
DoD_5-0_filt_ult_gis.txt, 33585.000, -4141.000, 71124.600, -75265.600, 23219.000, 0.696, 
DoD_5-1_filt_ult_gis.txt, 33590.000, -2696.300, 70248.100, -72944.400, 22731.000, 0.681, 
DoD_5-2_filt_ult_gis.txt, 33580.000, -3306.700, 68143.600, -71450.300, 22812.000, 0.684, 
DoD_5-3_filt_ult_gis.txt, 33590.000, -691.700, 57191.900, -57883.600, 20972.000, 0.629, 
DoD_5-4_filt_ult_gis.txt, 33584.000, -158.700, 39916.100, -40074.800, 17627.000, 0.528, 
DoD_6-0_filt_ult_gis.txt, 33634.000, 797.200, 81266.000, -80468.800, 24877.000, 0.746, 
DoD_6-1_filt_ult_gis.txt, 33639.000, 2188.600, 77298.400, -75109.800, 24409.000, 0.732, 
DoD_6-2_filt_ult_gis.txt, 33628.000, 1239.000, 76525.400, -75286.400, 24367.000, 0.730, 
DoD_6-3_filt_ult_gis.txt, 33640.000, 3595.800, 67726.800, -64131.000, 22804.000, 0.684, 
DoD_6-4_filt_ult_gis.txt, 33633.000, 3563.400, 58293.500, -54730.100, 21262.000, 0.637, 
DoD_6-5_filt_ult_gis.txt, 33569.000, 4694.100, 40675.200, -35981.100, 16668.000, 0.500, 
DoD_7-0_filt_ult_gis.txt, 33637.000, 2894.300, 78340.600, -75446.300, 24907.000, 0.747, 
DoD_7-1_filt_ult_gis.txt, 33642.000, 3843.300, 75064.600, -71221.300, 24024.000, 0.720, 
DoD_7-2_filt_ult_gis.txt, 33630.000, 3489.100, 71732.700, -68243.600, 23939.000, 0.718, 
DoD_7-3_filt_ult_gis.txt, 33642.000, 6546.500, 64687.500, -58141.000, 22503.000, 0.675, 
DoD_7-4_filt_ult_gis.txt, 33638.000, 5927.500, 62726.100, -56798.600, 22177.000, 0.665, 
DoD_7-5_filt_ult_gis.txt, 33579.000, 7124.500, 50963.000, -43838.500, 18149.000, 0.544, 
DoD_7-6_filt_ult_gis.txt, 33633.000, 1788.700, 31030.500, -29241.800, 12343.000, 0.370, 
DoD_8-0_filt_ult_gis.txt, 33638.000, 132.700, 78781.200, -78648.500, 25706.000, 0.771, 
DoD_8-1_filt_ult_gis.txt, 33639.000, 1358.600, 77196.800, -75838.200, 25424.000, 0.762, 
DoD_8-2_filt_ult_gis.txt, 33628.000, 1178.300, 74957.900, -73779.600, 24927.000, 0.747, 
DoD_8-3_filt_ult_gis.txt, 33639.000, 3406.200, 65690.000, -62283.800, 23549.000, 0.706, 
DoD_8-4_filt_ult_gis.txt, 33636.000, 3289.000, 64640.500, -61351.500, 23177.000, 0.695, 
DoD_8-5_filt_ult_gis.txt, 33591.000, 4975.000, 59245.500, -54270.500, 20419.000, 0.612, 
DoD_8-6_filt_ult_gis.txt, 33627.000, 560.200, 48155.800, -47595.600, 18279.000, 0.548, 
DoD_8-7_filt_ult_gis.txt, 33639.000, -587.600, 40819.600, -41407.200, 16494.000, 0.494, 
DoD_9-0_filt_ult_gis.txt, 33641.000, -1200.600, 79241.600, -80442.200, 25346.000, 0.760, 
DoD_9-1_filt_ult_gis.txt, 33644.000, 382.200, 81420.300, -81038.100, 26070.000, 0.781, 
DoD_9-2_filt_ult_gis.txt, 33636.000, -207.500, 79760.400, -79967.900, 25856.000, 0.775, 
DoD_9-3_filt_ult_gis.txt, 33646.000, 1708.000, 68305.400, -66597.400, 23981.000, 0.719, 
DoD_9-4_filt_ult_gis.txt, 33640.000, 1911.200, 64659.700, -62748.500, 23654.000, 0.709, 
DoD_9-5_filt_ult_gis.txt, 33586.000, 4210.400, 61844.500, -57634.100, 21677.000, 0.650, 
DoD_9-6_filt_ult_gis.txt, 33638.000, -543.900, 51005.100, -51549.000, 19830.000, 0.594, 
DoD_9-7_filt_ult_gis.txt, 33642.000, -1840.300, 46154.100, -47994.400, 18818.000, 0.564, 
DoD_9-8_filt_ult_gis.txt, 33637.000, -126.400, 35162.600, -35289.000, 15127.000, 0.453, 
