# tot_vol, sum_vol, dep_vol, sco_vol, morph_act_area, morph_act_area_dep, morph_act_area_sco, act_width_mean, act_width_mean_dep, act_width_mean_sco, act_thickness, act_thickness_dep, act_thickness_sco, bri
4.990000000000100044e+01 7.681990000000000873e+04 3.843490000000000146e+04 -3.838500000000000000e+04 1.613300000000000000e+04 8.402000000000000000e+03 7.731000000000000000e+03 5.803237410071942293e+01 3.022302158273381423e+01 2.780935251798561225e+01 9.539569837438229172e+00 4.574494168055225352e+00 4.965075669383003820e+00 4.121432910672167438e+00
6.286999999999998181e+02 6.082709999999999854e+04 3.072789999999999782e+04 -3.009920000000000073e+04 1.299500000000000000e+04 6.657000000000000000e+03 6.338000000000000000e+03 4.674460431654676285e+01 2.394604316546762490e+01 2.279856115107913794e+01 9.364884018715745384e+00 4.615878023133543451e+00 4.749005995582202821e+00 3.666555158180281992e+00
-1.107399999999999409e+03 9.284960000000000582e+04 4.587109999999999854e+04 -4.697850000000000000e+04 1.836200000000000000e+04 9.732000000000000000e+03 8.630000000000000000e+03 6.605035971223021818e+01 3.500719424460431384e+01 3.104316546762590079e+01 1.015705680487350548e+01 4.713429921907110298e+00 5.443626882966396074e+00 4.744015386719792282e+00
1.976299999999999272e+03 8.191209999999999127e+04 4.194419999999999709e+04 -3.996790000000000146e+04 1.733300000000000000e+04 9.112000000000000000e+03 8.221000000000000000e+03 6.234892086330935257e+01 3.277697841726618577e+01 2.957194244604316680e+01 9.464866109822388296e+00 4.603182616330113497e+00 4.861683493492275687e+00 4.266955470731292444e+00
-1.587000000000000455e+02 7.999090000000000873e+04 3.991610000000000582e+04 -4.007480000000000291e+04 1.762700000000000000e+04 8.825000000000000000e+03 8.802000000000000000e+03 6.340647482014388459e+01 3.174460431654676285e+01 3.166187050359712174e+01 9.075990612486346976e+00 4.523070821529745267e+00 4.552919790956600821e+00 4.104567576510056881e+00
4.694099999999999454e+03 7.665630000000000291e+04 4.067520000000000437e+04 -3.598109999999999854e+04 1.666800000000000000e+04 9.285000000000000000e+03 7.383000000000000000e+03 5.995683453237410276e+01 3.339928057553957075e+01 2.655755395683453202e+01 9.254249838678866524e+00 4.380743134087238033e+00 4.873506704591629379e+00 3.996570640660632723e+00
1.788700000000000045e+03 6.027229999999999563e+04 3.103050000000000000e+04 -2.924179999999999563e+04 1.234300000000000000e+04 6.292000000000000000e+03 6.051000000000000000e+03 4.439928057553957075e+01 2.263309352517985573e+01 2.176618705035971146e+01 9.764295318044133865e+00 4.931738715829625086e+00 4.832556602214509667e+00 3.688155428380383238e+00
-5.875999999999989996e+02 8.222680000000001746e+04 4.081959999999999854e+04 -4.140720000000000437e+04 1.649400000000000000e+04 9.111000000000000000e+03 7.383000000000000000e+03 5.933093525179856442e+01 3.277338129496402530e+01 2.655755395683453202e+01 1.008870648609360998e+01 4.480254637251674055e+00 5.608451848841935039e+00 4.342171569006270992e+00
-1.264000000000000909e+02 7.045160000000000582e+04 3.516259999999999854e+04 -3.528900000000000000e+04 1.512700000000000000e+04 7.808000000000000000e+03 7.319000000000000000e+03 5.441366906474819842e+01 2.808633093525179802e+01 2.632733812949640395e+01 9.324967084743503776e+00 4.503406762295082189e+00 4.821560322448421587e+00 3.948278993144770155e+00
