Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.500,1.585,2
-3.100,-3.000,0.500,1.520,2
-3.000,-2.900,0.500,1.481,2
-2.900,-2.800,1.000,2.847,4
-2.800,-2.700,0.750,2.069,3
-2.700,-2.600,1.500,3.956,6
-2.600,-2.500,3.500,8.963,14
-2.500,-2.400,7.000,17.126,28
-2.400,-2.300,6.000,14.036,24
-2.300,-2.200,17.000,38.168,68
-2.200,-2.100,25.500,54.632,102
-2.100,-2.000,46.250,94.383,185
-2.000,-1.900,93.750,182.197,375
-1.900,-1.800,219.250,404.334,877
-1.800,-1.700,408.500,712.937,1634
-1.700,-1.600,596.500,983.466,2386
-1.600,-1.500,669.750,1037.254,2679
-1.500,-1.400,871.500,1260.991,3486
-1.400,-1.300,1483.000,1992.439,5932
-1.300,-1.200,2406.250,3002.847,9625
-1.200,-1.100,3521.250,4035.579,14085
-1.100,-1.000,6103.000,6382.096,24412
-1.000,-0.900,10050.000,9512.479,40200
-0.900,-0.800,15318.000,12965.818,61272
-0.800,-0.700,22135.750,16539.117,88543
-0.700,-0.600,31323.000,20295.669,125292
-0.600,-0.500,38805.000,21270.760,155220
-0.500,-0.400,48836.500,21885.873,195346
-0.400,-0.300,56642.000,19819.443,226568
-0.300,-0.200,61625.500,15338.799,246502
-0.200,-0.100,13865.000,2564.103,55460
-0.100,0.000,0.000,0.000,0
0.000,0.100,74262.250,4517.147,297049
0.100,0.200,71270.500,10422.888,285082
0.200,0.300,43393.250,10642.320,173573
0.300,0.400,24230.000,8377.977,96920
0.400,0.500,14241.500,6342.957,56966
0.500,0.600,8397.250,4586.946,33589
0.600,0.700,5487.250,3549.920,21949
0.700,0.800,3728.000,2779.370,14912
0.800,0.900,2294.000,1941.082,9176
0.900,1.000,1374.500,1300.927,5498
1.000,1.100,835.000,874.485,3340
1.100,1.200,589.000,675.879,2356
1.200,1.300,434.000,540.993,1736
1.300,1.400,242.250,326.280,969
1.400,1.500,170.250,246.305,681
1.500,1.600,94.250,145.904,377
1.600,1.700,43.500,71.565,174
1.700,1.800,27.750,48.465,111
1.800,1.900,16.250,30.025,65
1.900,2.000,18.000,35.020,72
2.000,2.100,8.250,16.885,33
2.100,2.200,2.750,5.856,11
2.200,2.300,0.000,0.000,0
2.300,2.400,0.000,0.000,0
2.400,2.500,0.000,0.000,0
2.500,2.600,0.000,0.000,0
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
